universe,rank_ic,icir,n_days
ALL,-0.03783097149626885,-7.660069086011271,3885
CSI300,-0.012457133662843118,-1.5491248051594964,3729
CSI500,-0.02707323754928641,-4.450384895244101,3659
CSI1000,-0.03467465705105199,-6.892608774019217,2726
