regime,n,rank_ic,icir
2010_2014,1211,-0.027668102926480722,-5.077476684066932
2015_2016_bull_crash,487,-0.043834516857673755,-8.281731820408174
2017_2019,730,-0.04247474572148003,-8.610101715870801
2020_2021,485,-0.03397999900133098,-8.691236608433721
2022_bear,241,-0.04283066048006525,-13.152367623365704
2023_2025,726,-0.047478276359218606,-9.968679921394369
