,rank_ic
2023-11-01,0.02140439323541636
2023-11-02,0.06343374998320668
2023-11-03,0.22252308099423512
2023-11-06,0.13648323717711977
2023-11-07,-0.09267537399029481
2023-11-08,0.016500672442503538
2023-11-09,0.2989178950857339
2023-11-10,-0.10027982526329421
2023-11-13,0.033994929298331665
2023-11-14,0.06786262640293733
2023-11-15,0.223614348507561
2023-11-16,0.0329614446631306
2023-11-17,-0.039398689104207234
2023-11-20,-0.03852771389512792
2023-11-21,0.2725552215787535
2023-11-22,0.002976508652742166
2023-11-23,0.10707232068071165
2023-11-24,-0.008266530824377843
2023-11-27,0.07396198840273865
2023-11-28,0.0050793730439136365
2023-11-29,-0.05919265541752977
2023-11-30,0.09918789682186313
2023-12-01,0.06365005654650381
2023-12-04,-0.1240908118357506
2023-12-05,-0.05287188830480729
2023-12-06,-0.005368556558127386
2023-12-07,0.0034044032105766666
2023-12-08,0.25975897101904044
2023-12-11,-0.04534726696082652
2023-12-12,-0.07789762000675386
2023-12-13,-0.14159094241778408
2023-12-14,-0.050045054356892264
2023-12-15,0.08921349268913795
2023-12-18,-0.12180763260594642
2023-12-19,0.173716834778525
2023-12-20,-0.007428088559232465
2023-12-21,0.1111903391008889
2023-12-22,0.17527771411173065
2023-12-25,0.014308245701364753
2023-12-26,-0.035064414739574536
2023-12-27,0.054017456021088144
2023-12-28,0.3213283103525488
2023-12-29,0.051713681826234495
2024-01-02,-0.11807638050571116
2024-01-03,-0.05275746518625537
2024-01-04,-0.07044220746288775
2024-01-05,-0.07085200955811993
2024-01-08,-0.22309497433528624
2024-01-09,-0.17498278081930202
2024-01-10,-0.10538652783696786
2024-01-11,0.34847511719457214
2024-01-12,-0.2829732850439679
2024-01-15,-0.05257621304959945
2024-01-16,-0.18829011444099775
2024-01-17,-0.16842135323573743
2024-01-18,0.1932706910947283
2024-01-19,0.0291442684751099
2024-01-22,-0.1711221902553539
2024-01-23,0.015332022951090079
2024-01-24,-0.15743517446206104
2024-01-25,0.27171699247735503
2024-01-26,-0.28142380191294725
2024-01-29,-0.19713419695310583
2024-01-30,-0.2045921527474096
2024-01-31,-0.3624399247175171
2024-02-01,-0.018644095087260528
2024-02-02,-0.5299611954349023
2024-02-05,-0.5310895796564531
2024-02-06,-0.25196095966902693
2024-02-07,-0.5478592385877135
2024-02-08,0.772352400842212
2024-02-19,0.5600632502663029
2024-02-20,0.3885659981872477
2024-02-21,0.47449709713643234
2024-02-22,0.5723911668918531
2024-02-23,0.6596207879587427
2024-02-26,0.49194822611249467
2024-02-27,0.34224663833163793
2024-02-28,-0.4074599228193461
2024-02-29,0.2923419964869619
2024-03-01,0.10984831752051814
2024-03-04,-0.16927570556056934
2024-03-05,-0.3383352854942528
2024-03-06,0.3030555248398281
2024-03-07,0.33729476616429155
2024-03-08,-0.19828302458820837
2024-03-11,0.2348647627009172
2024-03-12,0.3821608953964808
2024-03-13,-0.09346528229033564
2024-03-14,0.356857284951503
2024-03-15,-0.1182910263905356
2024-03-18,-0.2324471606212906
2024-03-19,0.013567604030363601
2024-03-20,-0.1426912490663479
2024-03-21,-0.016622039953791665
2024-03-22,0.021637868996985502
2024-03-25,0.2811625117727151
2024-03-26,0.061775643320322975
2024-03-27,0.013442719730099915
2024-03-28,-0.15123845331162836
2024-03-29,-0.04608741939380733
2024-04-01,0.20755144731134711
2024-04-02,-0.18695611410421206
2024-04-03,-0.11337531052865248
2024-04-08,0.03982714266851813
2024-04-09,0.10603818647226715
2024-04-10,-0.10524305712704797
2024-04-11,-0.03164421311572757
2024-04-12,-0.11500485710344338
2024-04-15,0.02589852057257308
2024-04-16,-0.29490848228786914
2024-04-17,0.5376696101292773
2024-04-18,-0.08526289427137167
2024-04-19,-0.3674185786475269
2024-04-22,0.09649104151744284
2024-04-23,0.44998641865260613
2024-04-24,0.3172829075068524
2024-04-25,0.0189001106127153
2024-04-26,0.3034221941368121
2024-04-29,0.4154512147210046
2024-04-30,-0.14548085060216834
2024-05-06,-0.029601207289771694
2024-05-07,0.13909001497682702
2024-05-08,-0.23422014078143225
2024-05-09,0.17012323598872212
2024-05-10,-0.1291796495977552
2024-05-13,-0.38894738367507564
2024-05-14,0.25019830594512915
2024-05-15,0.10941912928075954
2024-05-16,0.19110097290641143
2024-05-17,0.014943869114938132
2024-05-20,0.15551661306796097
2024-05-21,-0.006350010331555101
2024-05-22,0.05856445435708205
2024-05-23,0.08352252421292554
2024-05-24,0.11249972303405131
2024-05-27,0.09190181049751515
2024-05-28,0.008639387489147657
2024-05-29,0.0731093953328848
2024-05-30,0.2759147057657671
