,cum_hl
2023-11-01,0.006038625459422643
2023-11-02,0.012274588609215148
2023-11-03,0.025969137864641487
2023-11-06,0.028487537156454856
2023-11-07,0.023859599680636136
2023-11-08,0.02022856505575594
2023-11-09,0.04611796110849387
2023-11-10,0.046172756893226044
2023-11-13,0.050588963636184966
2023-11-14,0.0486020169869906
2023-11-15,0.05620835024637405
2023-11-16,0.056763848142677015
2023-11-17,0.05475642996754805
2023-11-20,0.05071997076649596
2023-11-21,0.06338115408860817
2023-11-22,0.06283190199801494
2023-11-23,0.07879832714312754
2023-11-24,0.07447952066698696
2023-11-27,0.08343801271674642
2023-11-28,0.08531300337023255
2023-11-29,0.08577903823795509
2023-11-30,0.08931797064886901
2023-12-01,0.09105948042915364
2023-12-04,0.08232774130985618
2023-12-05,0.07781336726435845
2023-12-06,0.07962170460837444
2023-12-07,0.08143024179943686
2023-12-08,0.0950251534098549
2023-12-11,0.08812177758795958
2023-12-12,0.08433405467099012
2023-12-13,0.076887883800105
2023-12-14,0.07772841632582886
2023-12-15,0.0805038532797655
2023-12-18,0.0749177498938576
2023-12-19,0.08086950120909521
2023-12-20,0.0834373913907094
2023-12-21,0.09164453815049506
2023-12-22,0.11268092007300033
2023-12-25,0.11079423711314901
2023-12-26,0.10771679159634073
2023-12-27,0.11340274871101902
2023-12-28,0.13671382954050587
2023-12-29,0.1368688908857255
2024-01-02,0.1341617265696596
2024-01-03,0.1346458887418743
2024-01-04,0.13284906157782714
2024-01-05,0.13383673883153704
2024-01-08,0.12541300149350815
2024-01-09,0.11946327081007639
2024-01-10,0.1188134218023448
2024-01-11,0.135664574883119
2024-01-12,0.12786298141999622
2024-01-15,0.12347430878484976
2024-01-16,0.11455407297171678
2024-01-17,0.1101311936449068
2024-01-18,0.11366811679201232
2024-01-19,0.12072089060060981
2024-01-22,0.10340553809507476
2024-01-23,0.10478160064323722
2024-01-24,0.09579396670370177
2024-01-25,0.1184564381953781
2024-01-26,0.10361435769319381
2024-01-29,0.08983831485479268
2024-01-30,0.07966105456909
2024-01-31,0.044598347504513705
2024-02-01,0.047416326113293675
2024-02-02,0.002729420941241366
2024-02-05,-0.10000839386278046
2024-02-06,-0.13294849727858735
2024-02-07,-0.23523274617298381
2024-02-08,-0.11429464077423905
2024-02-19,-0.055907387602157674
2024-02-20,-0.034248745752898824
2024-02-21,0.005545793233504112
2024-02-22,0.04343874975230462
2024-02-23,0.08930121829121618
2024-02-26,0.12430013175578439
2024-02-27,0.1411346250899384
2024-02-28,0.11247455690874084
2024-02-29,0.12594382042406968
2024-03-01,0.12963923085889736
2024-03-04,0.11279321263241537
2024-03-05,0.0988066174491525
2024-03-06,0.11494756387764618
2024-03-07,0.14301216765883504
2024-03-08,0.12762360794270286
2024-03-11,0.14019510329979742
2024-03-12,0.1685927608066645
2024-03-13,0.1626923971044052
2024-03-14,0.17758153957278333
2024-03-15,0.17059512582630657
2024-03-18,0.15635269290590745
2024-03-19,0.15953404216332823
2024-03-20,0.1477834134840813
2024-03-21,0.14442887556273415
2024-03-22,0.13851951429030923
2024-03-25,0.16643183155007668
2024-03-26,0.1698141715444182
2024-03-27,0.1768030797305411
2024-03-28,0.1633655114543045
2024-03-29,0.1712145430656625
2024-04-01,0.18496049270555465
2024-04-02,0.17367325811929699
2024-04-03,0.17403864390149495
2024-04-08,0.17553838704331168
2024-04-09,0.18553708888234846
2024-04-10,0.17631598311627614
2024-04-11,0.1791881859044616
2024-04-12,0.1751830146924116
2024-04-15,0.1860663097728447
2024-04-16,0.14937477332651555
2024-04-17,0.21174801934526777
2024-04-18,0.20853363954827672
2024-04-19,0.1830151063316945
2024-04-22,0.2005360784587546
2024-04-23,0.23764447964275284
2024-04-24,0.25591011226606947
2024-04-25,0.2572566955727104
2024-04-26,0.2804376053278925
2024-04-29,0.3125946834803446
2024-04-30,0.3046917180847682
2024-05-06,0.2999715061924247
2024-05-07,0.30488957922203014
2024-05-08,0.2938440946261332
2024-05-09,0.3063804432541426
2024-05-10,0.2977807150662724
2024-05-13,0.27012358846317824
2024-05-14,0.287515459427499
2024-05-15,0.29469245998413995
2024-05-16,0.30173769751696716
2024-05-17,0.29317895622314133
2024-05-20,0.3072106098967698
2024-05-21,0.3068847465881306
2024-05-22,0.3088182379835332
2024-05-23,0.3110117074050874
