universe,model,scheme,rank_ic,rank_icir,gross_sharpe,net_sharpe,net_annu_ret,mdd_net,daily_turnover,n_days,cost_rt,cost_bp
ALL,A,rolling_ic_60,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
ALL,B,rolling_ic_60,0.056114965060256504,10.43309625155685,3.669556784878764,2.1570406354764127,0.25680436207674723,-0.11824096809610618,0.480063356233798,1454,0.0015,15
ALL,C,rolling_ic_60,0.05487700280993911,10.384985857322523,4.175208548495037,2.616543828735245,0.29256321769247573,-0.09385315418941537,0.4651276692376023,1454,0.0015,15
CSI300,A,rolling_ic_60,0.027234052917876953,3.6840367128939793,1.5565887425503562,-0.37729890533349913,-0.05124030167954806,-0.4222619417227701,0.7006943862567246,1454,0.0015,15
CSI300,B,rolling_ic_60,0.027169910992319943,3.523268433816976,0.702919898062447,-0.6353380680945464,-0.09835790984307326,-0.5145412633226412,0.5519231117176115,1454,0.0015,15
CSI300,C,rolling_ic_60,0.02289089025389717,3.0876170128847464,0.6297009253099648,-0.8316567484210473,-0.11554696739754373,-0.5461386880999155,0.5413238331504888,1454,0.0015,15
CSI500,A,rolling_ic_60,0.028412310221736396,4.941373080701258,1.5814599224139625,-0.6499923483660359,-0.07482324178974506,-0.39232218497874205,0.6846459429507737,1454,0.0015,15
CSI500,B,rolling_ic_60,0.03886907576470232,5.359813796470768,0.7460106978711585,-0.5823249402720463,-0.0851223125656954,-0.47164840043906203,0.5176033409927521,1454,0.0015,15
CSI500,C,rolling_ic_60,0.03529861453926498,5.092378027404357,1.0510550875702729,-0.37101393798527893,-0.04963228370000848,-0.3866279700980688,0.5073240952738456,1454,0.0015,15
CSI1000,A,rolling_ic_60,0.03640542947823541,7.7451024263315515,3.214270583292343,0.6908620543795595,0.06956240321270299,-0.17339000363572327,0.6779916414550217,1454,0.0015,15
CSI1000,B,rolling_ic_60,0.050449101097551054,7.723677836014909,2.408033188889114,0.9923471687731674,0.13231490686998285,-0.19153491644138868,0.5028487164867693,1454,0.0015,15
CSI1000,C,rolling_ic_60,0.04765463808435757,7.475377271772955,2.7959184310616276,1.3276205540199162,0.1665668358455657,-0.12469954867237805,0.49162156765504655,1454,0.0015,15
