period,period_start,period_end,model,scheme,universe,rank_ic,rank_icir,gross_sharpe,net_sharpe,net_annu_ret,mdd_net,daily_turnover,n_days,cost_rt,cost_bp
discovery,2020-01-02,2022-12-30,A,rolling_ic_60,ALL,0.036617740006036105,11.568317026174988,5.070962523703052,1.644379726173298,0.12332074449888276,-0.0649873282029714,0.6833555457365756,727,0.0015,15
discovery,2020-01-02,2022-12-30,B,rolling_ic_60,ALL,0.05240351936544987,10.424167698411768,3.7821426931905586,2.1598247665918664,0.2453955450544215,-0.09879262409805314,0.49421541127599955,727,0.0015,15
discovery,2020-01-02,2022-12-30,C,rolling_ic_60,ALL,0.05180984323954591,10.287148697642758,4.142084616309579,2.536252607443376,0.2839932024363268,-0.08899817659363553,0.4817807672601938,727,0.0015,15
validation,2023-01-03,2024-12-31,A,rolling_ic_60,ALL,0.04197831730647907,11.392956364068542,4.454621884269612,1.7767393164277105,0.1584721654854882,-0.08415017252372002,0.6382499506623404,483,0.0015,15
validation,2023-01-03,2024-12-31,B,rolling_ic_60,ALL,0.05991424752059633,11.538344996482806,4.275406238191332,2.845951104448474,0.3554755999497266,-0.11824096809610622,0.47168351918034734,483,0.0015,15
validation,2023-01-03,2024-12-31,C,rolling_ic_60,ALL,0.05767832837116731,11.576097288532294,4.752851557929402,3.1879171006434595,0.3502081893922139,-0.09385315418941557,0.4556776620539085,483,0.0015,15
test,2025-01-02,2025-12-31,A,rolling_ic_60,ALL,0.042322554927781614,10.295319649491317,2.779528022074187,0.12900003633741536,0.012182498277284844,-0.0827710675514921,0.6719640993398998,242,0.0015,15
test,2025-01-02,2025-12-31,B,rolling_ic_60,ALL,0.06072107539147902,9.211566659251481,2.350787201535566,0.9238585920767735,0.11194492987918839,-0.0772140035600922,0.46282839643492785,242,0.0015,15
test,2025-01-02,2025-12-31,C,rolling_ic_60,ALL,0.059494326050574274,9.230410095985958,3.404783423950592,1.9515865029284911,0.2216916349686831,-0.06318454630473283,0.4432120122699124,242,0.0015,15
