model,scheme,universe,rank_ic,rank_icir,gross_sharpe,net_sharpe,net_annu_ret,mdd_net,daily_turnover,n_days,cost_rt,cost_bp
A,rolling_ic_60,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,2.3720898625284415,0.19810946641183652,-0.07551979906538146,0.665481229022025,1454,0.001,10
B,rolling_ic_60,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,2.6612974710126136,0.316812281605972,-0.1110369666066188,0.480063356233798,1454,0.001,10
C,rolling_ic_60,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,3.1363731776193706,0.35070417634717593,-0.08681756492139857,0.4651276692376023,1454,0.001,10
A,rolling_ic_60,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
B,rolling_ic_60,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,2.1570406354764127,0.25680436207674723,-0.11824096809610618,0.480063356233798,1454,0.0015,15
C,rolling_ic_60,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,2.616543828735245,0.29256321769247573,-0.09385315418941537,0.4651276692376023,1454,0.0015,15
A,rolling_ic_60,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,0.37997759866528164,0.03173915915633065,-0.16376750419017685,0.665481229022025,1454,0.002,20
B,rolling_ic_60,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,1.6527909240542027,0.19679644254752235,-0.13084692288269512,0.480063356233798,1454,0.002,20
C,rolling_ic_60,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,2.0965509931828596,0.2344222590377751,-0.10083707667365525,0.4651276692376023,1454,0.002,20
A,rolling_ic_60,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,-1.6107886855911295,-0.13463114809917598,-0.5535390132511804,0.665481229022025,1454,0.003,30
B,rolling_ic_60,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,0.6445883265286081,0.07678060348907313,-0.2025628148717131,0.480063356233798,1454,0.003,30
C,rolling_ic_60,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,1.0564082687469716,0.11814034172837459,-0.16300322015620056,0.4651276692376023,1454,0.003,30
A,rolling_ic_60,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,-5.577009131210698,-0.46737176261018887,-0.9356285098911807,0.665481229022025,1454,0.005,50
B,rolling_ic_60,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,-1.3687092228599416,-0.16325107462782612,-0.6322051686639527,0.480063356233798,1454,0.005,50
C,rolling_ic_60,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,-1.0221739833769374,-0.1144234928904267,-0.5272529887864567,0.4651276692376023,1454,0.005,50
