index,mean_daily_return
1,-0.0008981488351132594
2,0.00010361372271719634
3,0.0004338501345386361
4,0.000602001537201328
5,0.0007035139262450791
6,0.0007139098051504588
7,0.000777330005617798
8,0.0008616150375768727
9,0.0009268810683575288
10,0.0007579434094739885
H-L,0.001656092244587247
