regime,n_days_B,net_sharpe_B,n_days_C,net_sharpe_C,delta_net_sharpe_C_minus_B
bull,512,1.0311508443549444,512,1.6463533637061774,0.6152025193512329
bear,146,4.883699928819339,146,5.159757293298865,0.27605736447952633
sideways,797,2.4034140760890628,797,2.76270696330575,0.3592928872166872
high_vol,713,2.5309318109713295,713,3.036864054071456,0.5059322431001267
low_vol,713,1.8781491729413355,713,2.3505715249730104,0.4724223520316748
