regime,n_days,net_sharpe,model
bull,512,1.0311508443549444,B
bear,146,4.883699928819339,B
sideways,797,2.4034140760890628,B
high_vol,713,2.5309318109713295,B
low_vol,713,1.8781491729413355,B
