model,combine,exposure_mode,rank_ic,rank_icir,gross_sharpe,net_sharpe,net_annu_ret,mdd_net,daily_turnover,mean_exposure,p95_exposure,n_days,cost_rt
B,equal,none,0.055237420179835774,10.738937902257623,3.768341684324715,2.213644212830166,0.26014634865653086,-0.11505079684341352,0.48775234673269563,1.0,1.0,1454,0.0015
C,equal,none,0.05154702318729786,10.275007808668517,4.559370921529357,2.9207716527407968,0.31036174455950327,-0.08540062506626299,0.4653190254595421,1.0,1.0,1454,0.0015
B,ic_weighted,none,0.056114965060256504,10.43309625155685,3.669556784878766,2.1570406354764136,0.25680436207674734,-0.11824096809610608,0.480063356233798,1.0,1.0,1454,0.0015
C,ic_weighted,none,0.05487700280993911,10.384985857322523,4.175208548495039,2.6165438287352454,0.29256321769247573,-0.09385315418941526,0.4651276692376023,1.0,1.0,1454,0.0015
B,ic_weighted,vol_scaled,0.056114965060256504,10.43309625155685,3.807557171149331,2.1400509411385786,0.33844426858303095,-0.16145640202447825,0.7041593743595049,1.4165758831715898,2.191360970691408,1454,0.0015
C,ic_weighted,vol_scaled,0.05487700280993911,10.384985857322523,4.371757778061601,2.65387746371474,0.41067522426344916,-0.13494609454291492,0.7108181268827295,1.4792607113302585,2.258322363272395,1454,0.0015
