factor,knife_source,rank_ic,icir,gross_hl_sharpe,direction,turnover_ann_proxy,mean_names,residual_ic_mean,residual_ic_t,best_lambda,stack_icir_uplift,verdict
apm_overnight_day_proxy,n/a,0.045393277168862343,7.0173744749024,3.153259208856017,1,83.7466228376369,5144.150793650793,0.033695662948537146,5.409630378626305,0.3,2.1648141679028283,enhancer_candidate
ideal_amplitude,n/a,-0.064636550643717,-10.874214967576734,4.725900637944261,-1,80.40555384112531,5137.630952380952,-0.04761964067638595,-8.827577704278088,0.3,2.294553491015642,enhancer_candidate
ideal_reversal,trade_count,-0.045436615314892854,-8.321490442602698,1.7095664034447866,-1,101.40309292171322,5087.4682539682535,-0.03463398627680233,-7.2023781441118215,0.3,1.1681273480200893,enhancer_candidate
reversal_20d_baseline,n/a,0.054988820439558515,6.099664928029505,1.358480427080386,1,86.81179330849385,5141.849206349207,0.03712223107054183,4.2184575749158135,0.3,2.1884238670016547,enhancer_candidate
