q,mean_ret,n_days,mean_n
1,0.0017033953625945693,251,513.8964143426294
2,0.0015680747077033129,251,513.4621513944223
3,0.0015087249125693418,251,513.3665338645418
4,0.0013685073815352874,251,513.4223107569721
5,0.0011400307811078292,251,513.5617529880478
6,0.0008680308797858842,251,513.2310756972112
7,0.0005684531872249105,251,513.3027888446215
8,0.0003490266293813573,251,513.4860557768924
9,0.0005708130423557052,251,513.3824701195219
10,0.002021117614921029,251,513.800796812749
