,1,2,3,4,5,6,7,8,9,10,H-L
2023-11-01,-0.0036260744322388254,0.001722342757577514,0.0024188906244577086,0.0024130460947941724,0.0035106018243723663,0.0036721939397404537,0.004483974660391364,0.003943300652379515,0.0019035104784557843,-0.0008513381888538449,0.0027747362433849804
2023-11-02,-0.014642317226862798,-0.008793759864866198,-0.006462978335815473,-0.0053238857338318,-0.005729186186648303,-0.006614625406133823,-0.006069035387476054,-0.006481930524583398,-0.010744950363567268,-0.01568582104403727,-0.0010435038171744716
2023-11-03,-0.0011198428908925622,0.010830018583122845,0.010282608305509124,0.009234851130506976,0.006179570042429567,0.004874118049830292,0.0043342485115363686,0.004904497413887024,-0.0012505641777255019,-0.005601907816745497,-0.004482064925852935
2023-11-06,0.029633482983912607,0.03214752985675494,0.030860667659072125,0.025971258260011315,0.02436090075517778,0.021425632894051336,0.0204640235116118,0.023598256636826208,0.017923023389038492,0.020623373965815768,-0.009010109018096837
2023-11-07,0.03840422041394453,0.03663060080418165,0.03388156013441022,0.0277038026758296,0.02748813803121068,0.025178849190338505,0.024475808492993495,0.028020226411689646,0.022886624886172505,0.030564944816782947,-0.007839275597161579
2023-11-08,0.044787523339116966,0.038320062546386244,0.034539378885649445,0.02842721910829291,0.02847253730648154,0.02588757464106534,0.02635745399465126,0.029790767395242765,0.02359026384540296,0.03375268691763216,-0.011034836421484801
2023-11-09,0.026951267284885488,0.03349182304377501,0.03106549135030845,0.02603062474416321,0.024589680677355646,0.021647984426147876,0.022216442211183008,0.024793421357661265,0.017285426757842177,0.02626129874914694,-0.0006899685357385429
2023-11-10,0.016870293162022373,0.033001540195270664,0.032221940234842435,0.02716253191233389,0.024027197120695905,0.02148524694206316,0.02280604025318991,0.023599380429289676,0.01597566058721024,0.022551895892235784,0.005681602730213414
2023-11-13,0.026634239100270907,0.04178672288722554,0.043462066824405204,0.03782348699143817,0.03482824697987787,0.032667612337728996,0.03299697286613938,0.03535981832093177,0.027111319113354012,0.031220629706995923,0.004586390606725019
2023-11-14,0.0351749932702449,0.047550527265575085,0.04687238064769472,0.04256602521951571,0.038873872633239645,0.03601120721247275,0.03662896452656867,0.03917226413982689,0.03202946272972884,0.04094057197665313,0.0057655787064082335
2023-11-15,0.03899340754505374,0.05628961561689544,0.055301600169670215,0.049422583972317954,0.044624951703084066,0.042618202713468945,0.04374241120104953,0.04458743402800706,0.03602656608706868,0.04414497592863383,0.005151568383580095
2023-11-16,0.030131317898918458,0.049042910760328746,0.04744354995456413,0.04296868991519073,0.03774213775562425,0.03586241526779495,0.037219572237933506,0.036306816184350076,0.027938002851194937,0.03624796835997625,0.00611665046105779
2023-11-17,0.03668345233994827,0.056915859977734524,0.05575486770629325,0.05027931725742263,0.04469909780624589,0.0424369192062534,0.04484994663211712,0.04540117704639511,0.03732715370696697,0.043987375488399,0.007303923148450724
2023-11-20,0.045187614156003655,0.06549219930538305,0.06379926385366252,0.05898409099736733,0.0527622206621849,0.05311639412121059,0.05590210951137143,0.056311446187409867,0.04952223217262648,0.0532213242939613,0.008033710137957641
2023-11-21,0.035032764070069784,0.06075255854760736,0.06215764804121973,0.05866153703171908,0.04891798332537899,0.051703065903957186,0.05015490165566536,0.05007788565141349,0.040834475818636466,0.04006615587313632,0.005033391803066526
2023-11-22,0.023692306863610676,0.04816499414924941,0.049543960817774305,0.048410892921969775,0.039374776153370844,0.042144919458133354,0.04279337714525539,0.04225634592594747,0.0319042390890397,0.026994858757336256,0.0033025518937255718
2023-11-23,0.02616138104605672,0.06106706089083562,0.06318073461186458,0.05976511733636328,0.0502335782267314,0.05247032833803828,0.052702951979052795,0.052410583248392845,0.040829320558281465,0.036083116794081986,0.009921735748025259
2023-11-24,0.013533688671793376,0.043800526017633346,0.046805746896344994,0.046057112790417146,0.03789421623993136,0.040584380565682796,0.0435648939652008,0.04334035652366389,0.03199760697360195,0.023910523707938947,0.010376835036145561
2023-11-27,0.011399316931952216,0.05065294608413071,0.0514310224133857,0.049294603960098264,0.03864760038788247,0.040641695357894865,0.04140703081050532,0.0399073383110548,0.027378323086720797,0.022886179143994562,0.011486862212042339
2023-11-28,0.019291926080184443,0.06272665942387891,0.06320657397549555,0.05918568127618158,0.04846365591880013,0.04950733884453571,0.048296296180057215,0.04572269439320445,0.032440371924329296,0.025608808112170357,0.006316882031985908
2023-11-29,0.011856822671477987,0.057582022152960266,0.05858333552212102,0.053150298480182726,0.041962708971474444,0.04291547007222604,0.043735154520631,0.04094887955530737,0.026805197780722587,0.018629019211605282,0.006772196540127289
2023-11-30,0.002050184266326296,0.05341659421983355,0.05248827317248915,0.048671626478873985,0.03812740793406036,0.038366707101157485,0.03929898577585929,0.03623352207821842,0.02039677653727722,0.013573597858566757,0.011523413592240454
2023-12-01,0.0071479066888447546,0.05954360782791942,0.05883209107230877,0.055607952711883776,0.04175226443221056,0.04193747475844152,0.040372045277837734,0.03920692066617126,0.027328628971260992,0.029043810679573248,0.021895903990728487
2023-12-04,0.006013153378680475,0.05583566176570891,0.05716621079610673,0.056061224878128035,0.04309247034480809,0.044229390948710166,0.04272834402199085,0.04124558663497484,0.02669766684240339,0.02576506887351925,0.019751915494838766
2023-12-05,-0.015445983666766645,0.036483766375558,0.03832559081607926,0.03875202602823813,0.026365190913662184,0.02711806904422071,0.02497112086299532,0.024681714569153336,0.008406525247476124,0.007919533958836544,0.023365517625603183
2023-12-06,-0.009450192026545484,0.040998807202431334,0.04306045416829527,0.044200831500560665,0.03214787760993384,0.03249902586516055,0.03184057242712406,0.02953680319331214,0.01285875021077327,0.011021738156721727,0.020471930183267203
2023-12-07,-0.014083528261279357,0.036018261926740486,0.038577346906139794,0.040188593190920455,0.027831802022384364,0.02976153361047665,0.029907285345905307,0.028997816271861432,0.011513055089781187,0.008961524211562329,0.02304505247284168
2023-12-08,-0.020874917557780925,0.031077515867890836,0.032175490858466486,0.03160384077591822,0.017107595692281853,0.018287986629707334,0.018168817970453117,0.017026150790678186,-0.0014591520916588038,0.004606426686124536,0.025481344243905454
2023-12-11,-0.0068428088118918096,0.042563681770531395,0.04361679377834311,0.04207554588843107,0.02763521312016072,0.029708573887674845,0.027833639388844044,0.028721352289178118,0.0079178053387962,0.01559663877384968,0.022439447585741484
2023-12-12,-0.004024807483364761,0.04673210301116511,0.04732898691451275,0.04626477433635166,0.031102746718952988,0.03457106883254643,0.032910297089130056,0.03337147855208221,0.011351711283461186,0.021176609175612503,0.02520141665897726
2023-12-13,-0.015356702702962185,0.04170717596384029,0.04194824798362375,0.042035070946355266,0.02566957624934453,0.029250172196255288,0.027080128684332787,0.02822606091656691,0.005101979461235033,0.012099251523038479,0.02745595422600066
2023-12-14,-0.020120195451818406,0.03945476692488291,0.04004956304683001,0.0407016700850122,0.024880811862117644,0.02890591976348449,0.026893412526689826,0.02657749591588302,0.0016532966785313503,0.0015736059861638247,0.02169380143798223
2023-12-15,-0.02386479608408001,0.03663477308247631,0.03784480495956976,0.03735464958393908,0.021613226586725074,0.024402874240163172,0.02176156720299486,0.0210028087541251,-0.005987707984501402,-0.0028827479085635,0.020982048175516507
2023-12-18,-0.039017083651989665,0.022176611769740274,0.024042355517424847,0.022442566395883504,0.00872798912907466,0.011025374088687161,0.009156661396916541,0.0067709453754399365,-0.018650917745335494,-0.01273160955468306,0.026285474097306596
2023-12-19,-0.037323939224650174,0.0266820652116087,0.029112416693453158,0.026570756252582036,0.01049080932810998,0.013441719197173255,0.008031992568172885,0.006796623273998709,-0.018024750487761813,-0.010464224391618383,0.026859714833031782
