,rank_ic
2023-11-01,0.056481291484777325
2023-11-02,-0.05733202687806343
2023-11-03,-0.1357780991120701
2023-11-06,-0.06295173209788778
2023-11-07,0.05774492289253704
2023-11-08,0.008667987000152332
2023-11-09,0.026329075789520054
2023-11-10,0.012557318511199424
2023-11-13,0.031927309032022566
2023-11-14,-0.013130179724801247
2023-11-15,-0.088888336682649
2023-11-16,-0.00382278559600258
2023-11-17,0.0232599155306038
2023-11-20,0.0928492842138781
2023-11-21,-0.11405220844011485
2023-11-22,0.07788157818771994
2023-11-23,-0.060634361353866455
2023-11-24,0.14449951990307203
2023-11-27,-0.1731265685030458
2023-11-28,-0.20328388530408664
2023-11-29,0.022570205354517956
2023-11-30,0.02102362642513778
2023-12-01,0.04528271728285846
2023-12-04,0.032787518293585075
2023-12-05,0.04959807999030301
2023-12-06,-0.0247921751597571
2023-12-07,0.049848408582378295
2023-12-08,-0.0750407359702098
2023-12-11,-0.04236773824838655
2023-12-12,0.012546532245008093
2023-12-13,-0.014448213655152746
2023-12-14,-0.0853746541981727
2023-12-15,-0.11424941046149792
2023-12-18,0.06816813964423374
2023-12-19,-0.16192864405907784
2023-12-20,0.017985541596448093
2023-12-21,-0.033061822989529054
2023-12-22,-0.006744326131430685
2023-12-25,-0.04125485366987661
2023-12-26,0.015377235022739884
2023-12-27,-0.13922435628161772
2023-12-28,-0.060919728860850376
2023-12-29,-0.053554308073636425
2024-01-02,-0.05789357321046074
2024-01-03,-0.08220837498920548
2024-01-04,0.1282020271898798
2024-01-05,0.03178944151974394
2024-01-08,0.17351748624761398
2024-01-09,0.028714242919624978
2024-01-10,0.04635906501479882
2024-01-11,-0.11607224687047561
2024-01-12,0.11758026188948804
2024-01-15,0.054768468453876826
2024-01-16,0.08025572987582823
2024-01-17,0.07340462386847328
2024-01-18,0.06500316063945721
2024-01-19,0.13830593152058815
2024-01-22,0.24449784500864757
2024-01-23,0.3038474902070185
2024-01-24,0.26502258966461895
2024-01-25,-0.19038923735532018
2024-01-26,0.12726984563598204
2024-01-29,-0.004507829574836868
2024-01-30,-0.03371615873136918
2024-01-31,0.009627763544085996
2024-02-01,-0.054458391462875386
2024-02-02,0.42501794152723515
2024-02-05,0.4012689539350456
2024-02-06,0.28622839424790836
2024-02-07,0.3888236185306227
2024-02-08,-0.4600863808202594
2024-02-19,-0.24719294073920242
