universe,rank_ic,icir,n_ic_days
CSI300,-0.02428463563203181,-2.2124048893224786,950
CSI500,-0.004571893203003917,-0.6348270706311825,950
CSI1000,0.008332414187109503,1.465726016588692,950
ALL,0.023560409520322182,4.846912963196787,950
