window,rank_ic,icir,residual_ic_t_base3
14,0.022984804417476773,4.758350932779717,6.1042108278192995
20,0.023560409520322182,4.846912963196787,6.110246201226899
26,0.02418876947419214,5.0057665854106554,6.293291625598154
