Date,cum_hl
2020-01-03,-0.0013568875038940937
2020-01-06,-0.0004362565689634448
2020-01-07,0.0035307488455574823
2020-01-08,0.0016816942755269568
2020-01-09,0.006432244908180531
2020-01-10,0.0069961754096873425
2020-01-13,0.007771439255375744
2020-01-14,0.006986831096677149
2020-01-15,0.00945460050838247
2020-01-16,0.009620514433174462
2020-01-17,0.012729681321228429
2020-01-20,0.0044722020197291955
2020-01-21,0.0034958769257067597
2020-01-22,0.0035525213834611204
2020-01-23,0.008479527021602248
2020-02-03,-0.005678976416322201
2020-02-04,-0.011663599564612201
2020-02-05,-0.021445781840702328
2020-02-06,-0.03046075564314302
2020-02-07,-0.018261602404824984
2020-02-10,0.0015193382811989724
2020-02-11,0.013356536448187174
2020-02-12,0.008040779018531853
2020-02-13,0.009004665341993607
2020-02-14,0.013323392790829494
2020-02-17,0.01611545738393807
2020-02-18,0.010932191568987892
2020-02-19,0.02933613850387657
2020-02-20,0.04309584906051773
2020-02-21,0.03402394961535722
2020-02-24,0.018864683842098787
2020-02-25,0.0036173250341430038
2020-02-26,0.03726654398220208
2020-02-27,0.04689681617680323
2020-02-28,0.028899093401962207
2020-03-02,0.05173682598789919
2020-03-03,0.05432718777126587
2020-03-04,0.05678334844115795
2020-03-05,0.06012577137203686
2020-03-06,0.06139631262113194
2020-03-09,0.0541287351633329
2020-03-10,0.06266328500879176
2020-03-11,0.059515131305645584
2020-03-12,0.061930880790394015
2020-03-13,0.061174674676218066
2020-03-16,0.05139324819743095
2020-03-17,0.05801049998811719
2020-03-18,0.05494225820282363
2020-03-19,0.05857174816373689
2020-03-20,0.05961408030121067
2020-03-23,0.053090999579543476
2020-03-24,0.05781205398360573
2020-03-25,0.06169464073364796
2020-03-26,0.057536679678923536
2020-03-27,0.05661567965720167
2020-03-30,0.05551017029798538
2020-03-31,0.05669729296234832
2020-04-01,0.06224134835051682
2020-04-02,0.07029348524942819
2020-04-03,0.0646539081049372
2020-04-07,0.06239369055047615
2020-04-08,0.05947885419542038
2020-04-09,0.05967883253708138
2020-04-10,0.0536793328856126
2020-04-13,0.0432230050063293
2020-04-14,0.05092396360845469
2020-04-15,0.05677397407854254
2020-04-16,0.06149817807492208
2020-04-17,0.06417223510539974
2020-04-20,0.06577873457009269
2020-04-21,0.06485644644767286
2020-04-22,0.06361753319165792
2020-04-23,0.06218387575992611
2020-04-24,0.06003120663910089
2020-04-27,0.05626582008575102
2020-04-28,0.04863922187901456
2020-04-29,0.04988050465709645
2020-04-30,0.05685275055753206
2020-05-06,0.06713095922440239
2020-05-07,0.06752278540237448
2020-05-08,0.06723688648369353
2020-05-11,0.06844209406571702
2020-05-12,0.06904396690267156
2020-05-13,0.07153168191105505
2020-05-14,0.07314229182761195
2020-05-15,0.07117395694953942
2020-05-18,0.06553333411337527
2020-05-19,0.07065238167240748
2020-05-20,0.07282273291117888
2020-05-21,0.06916558560186846
2020-05-22,0.0714199903674192
2020-05-25,0.0664957157485075
2020-05-26,0.07472084857965114
2020-05-27,0.07557942756007033
2020-05-28,0.07231536899757358
2020-05-29,0.07426595971862626
