Date,1,2,3,4,5,6,7,8,9,10,H-L
2024-08-02,-0.013490516441908068,-0.009860210293038824,-0.012308896441164011,-0.01116569484570102,-0.01139352130073096,-0.010620387626588991,-0.012691030760384005,-0.013313321631961077,-0.014219966559484775,-0.019442939418939324,-0.005952422977031255
2024-08-05,-0.023929996023232092,-0.022223380503100167,-0.021884048738621167,-0.02206531907679376,-0.022651329805389753,-0.022760743584678327,-0.024154082687403072,-0.024334004002579894,-0.03004692137825722,-0.033824362219261335,-0.009894366196029243
2024-08-06,0.020624839260271404,0.01800539974141442,0.018439378594563148,0.016991684768625264,0.01799905904834797,0.018216039767467874,0.019527192418614128,0.02105433693882145,0.021856484861811604,0.01937266055460159,-0.0012521787056698139
2024-08-07,0.0052693256667890424,0.002008490306368824,0.0010768276425111526,0.0006444027340475054,0.0009238398234892431,0.00011432598916912224,-0.00016833969047332044,0.0003116979819782973,-0.0018712983450371312,-0.00577077705511217,-0.011040102721901212
2024-08-08,-0.004119496779549924,-0.0008207964258442622,0.000534079385080653,0.0015889617871949794,0.0007684647806987823,0.000731914569747199,0.0005372949068796453,-0.003256249730720462,-0.004585371434858199,-0.01100219457657985,-0.006882697797029926
2024-08-09,-0.006158503713064553,-0.005380031557243585,-0.006448517075165977,-0.0056464249458682714,-0.005991015504305377,-0.005846355126085161,-0.006645912037129966,-0.006794671159306233,-0.008486744648187088,-0.015289173794045548,-0.009130670080980995
2024-08-12,-0.005238318209526294,-0.005702056145578043,-0.004337204369641977,-0.004557114465261747,-0.0035598893303620447,-0.005519409656804574,-0.007949650980933576,-0.007958536973701542,-0.011391507620157691,-0.012471116087133437,-0.007232797877607142
2024-08-13,0.00845720010348678,0.006917955919992625,0.0064698180316649315,0.006960253383155976,0.0068352345323503556,0.006125648553872657,0.005995393297928676,0.007733027152875653,0.009172044749557143,0.007022635843412299,-0.0014345642600744803
2024-08-14,-0.003740208163127305,-0.006800682530765437,-0.004518444958505016,-0.007442861122245667,-0.007025836594391229,-0.0068498078539726065,-0.00788660507198935,-0.0050549711610087585,-0.0034620086258922793,-0.0014033081729792343,0.002336899990148071
2024-08-15,0.007487119020549843,0.007972271158880925,0.00793724829904283,0.007853730790505532,0.007554084399001633,0.007775501575591576,0.008748401758121672,0.008461204223733886,0.009112638324452114,0.009835008758792422,0.0023478897382425796
2024-08-16,-0.005214882793908998,-0.00572392742160497,-0.0053252772793464746,-0.0031925772856486834,-0.004894120725817437,-0.003294714170336089,-0.0025898028004748613,-0.003493786275821705,-0.0036882794059032273,-0.01180141774969103,-0.0065865349557820314
2024-08-19,-0.003931326419214653,-0.0017757900939222634,-0.002091653158418289,-0.0018540839700483453,-0.002146046872133384,-0.003041280306413232,-0.003242660394681083,-0.004283574931782937,-0.005543972586972398,-0.011584169739031265,-0.007652843319816612
2024-08-20,-0.016844514366769228,-0.01680093943478389,-0.01577770636354278,-0.016819767148492544,-0.016864692786818535,-0.01721114071193403,-0.017670168947854767,-0.018760476357660177,-0.016607258567791886,-0.01801310321892169,-0.0011685888521524614
2024-08-21,-0.002031646118103678,-0.0022565198222612125,-0.0022066180300159147,-0.001839241246864404,-0.0025716517834262972,-0.0027497030289496556,-0.001661927151012436,-0.0028754336569986475,-0.004437369734507788,-0.004733541840671304,-0.002701895722567626
2024-08-22,-0.010405355749659173,-0.011779005873477117,-0.011673507757441581,-0.012006260214694087,-0.013809863379075363,-0.014868649592968408,-0.0139520177629587,-0.01627502343100385,-0.018842283726933244,-0.02448456090622098,-0.014079205156561806
2024-08-23,-0.004406193731099554,-0.004146410955146706,-0.0038809700324757687,-0.0043321301273610896,-0.0027748636122151295,-0.0018379738234571457,-0.004399347865045253,-0.004245410906950288,-0.006488786110533863,-0.0103654034791228,-0.005959209748023245
2024-08-26,0.01362539940173862,0.013184451921859424,0.012246938853208069,0.01121043902262123,0.010095109011261191,0.009003906489527123,0.008961273782398523,0.008824283866578297,0.01044161195018338,0.008665293934792664,-0.004960105466945955
2024-08-27,-0.010043161011759522,-0.01334091035294652,-0.01205002281755801,-0.012487864074876892,-0.011441199653492398,-0.014124592617563176,-0.01350861252552676,-0.015971817132975866,-0.015790368650069796,-0.017147707151930227,-0.007104546140170705
2024-08-28,0.00689200988084036,0.008182206515868531,0.006260841144612779,0.005327173437524469,0.004531892773258552,0.004904541217749832,0.005049638439007855,0.0033216666673851316,0.0038278844356532237,-0.0005541210468030094,-0.00744613092764337
2024-08-29,0.015076994213849629,0.015943540119741112,0.014819335600120692,0.012283816185754429,0.012305570755963818,0.014091812662660585,0.01611072161923556,0.01618246013739159,0.0157307755039165,0.01197926425340961,-0.0030977299604400196
2024-08-30,0.016658949261296397,0.01740532507360722,0.015817883481116676,0.016744604802191643,0.018526015375181414,0.01840659445249447,0.019066757026263238,0.01987506585922863,0.022435760240262434,0.027627263181379275,0.010968313920082878
2024-09-02,-0.018288282355720942,-0.016185578753282946,-0.014869041605924989,-0.016498118036802588,-0.018539812123156175,-0.017571946962580055,-0.01704014532172836,-0.01479479694982748,-0.015511417458643408,-0.015451237274706313,0.002837045081014629
2024-09-03,0.009828729560345792,0.01003868136009038,0.007719535683492761,0.007621658149300162,0.008538071632775575,0.00863216870756769,0.011449347628829277,0.010686710705454142,0.012915467165306302,0.0091984692020629,-0.0006302603582828917
2024-09-04,-0.004330312345583558,-0.00519203168668157,-0.005218760970979192,-0.0043915833385724315,-0.0068461762895677125,-0.005899708904507058,-0.0046162473906795915,-0.006628197890808995,-0.009572928162345149,-0.014510083805710597,-0.01017977146012704
2024-09-05,0.009030578486250532,0.010053193578865628,0.008718286025060345,0.009484748668227669,0.007843408419384376,0.008463708809861813,0.007770366877074907,0.009519324807895595,0.00975174737075864,0.010091755069496146,0.0010611765832456137
2024-09-06,-0.02103314619908992,-0.019812747679226972,-0.016925242767451408,-0.016608212106488426,-0.01630034801429756,-0.01779030336472502,-0.01782608470181973,-0.018576567133530363,-0.01820809953546235,-0.02401317790142056,-0.002980031702330639
2024-09-09,-0.00340133995982888,-0.0013384259257027032,-0.002467662093048632,-0.0018884926121659333,-0.0037482026295066655,-0.004070996611302351,-0.0029104101959338564,-0.0019967560942895134,-0.0024014497905534378,-0.0014359248516407623,0.001965415108188118
2024-09-10,0.008990352061566786,0.005830087416323054,0.0060020041777898575,0.005335955436831423,0.00426911841595321,0.004376595638552632,0.0064558430091572,0.00555448167966237,0.0064917316592841955,0.0038648060172158123,-0.005125546044350974
2024-09-11,-0.0034570364970311976,-0.004288098723002901,-0.0049758922522141254,-0.00413474088773705,-0.004446901132934599,-0.0023762112385349605,-0.0027311313454469006,-0.002428561632640326,-0.005932457869457013,-0.007751660614662309,-0.004294624117631112
2024-09-12,-0.002682271884628432,-0.001012212604001275,-0.001861263760198842,-0.0013260052914643857,-0.001998387002037474,-0.0032171216430182774,-0.002645335604943717,-0.003866241890115894,-0.0036965931532526074,-0.003691091642067183,-0.0010088197574387508
2024-09-13,-0.014268270982565688,-0.012977048364222933,-0.011994666400323992,-0.011025968922524134,-0.012799330760043581,-0.013810694812908017,-0.01366748071702373,-0.013228124847791681,-0.013779116507268,-0.01635456612407382,-0.0020862951415081335
2024-09-18,-0.006898994208592097,-0.006917053992066264,-0.005505088543938329,-0.006135356715796073,-0.006039143015113915,-0.006562595535012062,-0.003513467536732643,-0.007512787771647395,-0.00426724484357296,-0.012934018413447147,-0.0060350242048550495
2024-09-19,0.022023558307831207,0.022155975158674384,0.021675483616570297,0.022355178325896976,0.021767777995805905,0.024154273364849516,0.022217736410131028,0.02185207332450302,0.02369417659099359,0.023429006595347177,0.0014054482875159695
2024-09-20,-0.006916661943971166,-0.004425892117826458,-0.0051017648197126285,-0.00407929612785709,-0.0039574489691654915,-0.004628721115250258,-0.0023607624812459873,-0.002158113842492192,-0.0020589768668306707,-0.001519607967703142,0.005397053976268024
2024-09-23,0.0014566172327362158,0.0014761274228789756,0.0024389388727852385,0.0020390377815316142,0.0008874158544142269,0.0005490472587591452,0.002029457299303223,0.0010054722749701654,0.0014375682751691953,0.003932481607718203,0.002475864374981987
2024-09-24,0.03228896033900873,0.03543090750431445,0.03626891510244211,0.035298577329348935,0.03698213034210088,0.03933554459076521,0.037180402649789904,0.037256092339464225,0.03371256570642915,0.03034687158623694,-0.0019420887527717909
2024-09-25,0.01077540900843438,0.010803910396298196,0.011130835779700816,0.01146881246193545,0.011227988481827263,0.010782202884089005,0.012265157139532162,0.012368245025759849,0.011885246315165764,0.015879406672970026,0.005103997664535646
2024-09-26,0.03156315644883009,0.031146676629596824,0.03278156756515246,0.03423728311231791,0.03609509522809029,0.035102099014629976,0.03777949580275177,0.0364457229083065,0.03379711796412278,0.030513622020180223,-0.0010495344286498703
2024-09-27,0.04816148063919198,0.04614800289754089,0.044857670226676166,0.04696754218678221,0.04760409904619495,0.049552537373068695,0.04820394612928384,0.05116876961782882,0.05004271418457432,0.054289000636757144,0.006127519997565167
2024-09-30,0.10386984933247326,0.1021955489926403,0.10493010820520174,0.10426521923831661,0.10848022450762021,0.10688069439890127,0.11113107073517878,0.11335086441092532,0.11415182594783706,0.1279326575707413,0.024062808238268035
2024-10-08,0.047138160463954526,0.049213509057948204,0.05879829432625558,0.06248905502563565,0.07029280217149286,0.08031818244053522,0.09164156935566092,0.10608947391875136,0.11297802301912514,0.11759514703923173,0.0704569865752772
2024-10-09,-0.07115842454946103,-0.07919783066781343,-0.08270116491138252,-0.08269583844623923,-0.08856557344664451,-0.09474244774037838,-0.1019893516305978,-0.114024335944895,-0.11893553832413299,-0.13479291599618545,-0.06363449144672442
2024-10-10,0.005185120810368688,0.004712482735775321,0.009215278821949854,0.006939043903932749,0.008813257663917554,0.0027274093670438767,0.0031850645756552245,0.0038485074995427975,-0.0011578047645429035,-0.008458701892571344,-0.013643822702940032
2024-10-11,-0.02461139726321165,-0.03457825097481376,-0.03279591291148791,-0.032564960755040076,-0.03189170590150248,-0.03521892824405993,-0.043590901994407724,-0.05056140636073883,-0.052965142330558046,-0.05252451486700309,-0.027913117603791438
2024-10-14,0.02353845372392951,0.02360289427868474,0.023364416933907305,0.025403725019956105,0.027607657196225495,0.02785421560842315,0.03114752341337196,0.03754062169480072,0.038127992697357185,0.054323879215341556,0.030785425491412045
2024-10-15,-0.014598835606097944,-0.01804193700123214,-0.017176252738601464,-0.017832223256297203,-0.017675017253925132,-0.018232603788278446,-0.017612475301761396,-0.01641338947812919,-0.015104146000445576,-0.012527032581419194,0.002071803024678749
