Date,ret
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,7.289501161441073e-06
2018-01-31,-0.002370872520315495
2018-02-01,-0.0017342010415239417
2018-02-02,-0.0028905383488269046
2018-02-05,0.00025804205575469773
2018-02-06,0.0031215811589586015
2018-02-07,0.005340266847237618
2018-02-08,0.0028500230859907615
2018-02-09,0.0069729702773050385
2018-02-12,0.001678914773759435
2018-02-13,-0.0009687480018788787
2018-02-14,-0.001512960576965461
2018-02-22,-0.004829729950397418
2018-02-23,-0.003168939534061024
2018-02-26,-0.0013662473645279158
2018-02-27,0.004190955723104813
2018-02-28,0.0012315314527128148
2018-03-01,-0.00025360938050670613
2018-03-02,-0.0008753339891213055
2018-03-05,0.00027112833538029974
2018-03-06,0.0009845638065250437
2018-03-07,0.0018174230223890328
2018-03-08,0.0014365127404978532
2018-03-09,0.00549744203061972
2018-03-12,0.0027129470540292657
2018-03-13,0.0020456327598852137
2018-03-14,0.0010242837592122373
2018-03-15,0.0009206706117200914
2018-03-16,-0.0032209450327041
2018-03-19,-0.0003344502411002778
2018-03-20,0.0021539053176148557
2018-03-21,1.3539119595018696e-05
2018-03-22,-0.002682522573474209
2018-03-23,0.004009169447642104
2018-03-26,0.0063406390510591
2018-03-27,0.0031780392474092395
2018-03-28,0.0034282440875230916
2018-03-29,0.0024475667635303483
2018-03-30,-0.00023327873314683834
2018-04-02,0.0009830382335480684
2018-04-03,0.006392419033960504
2018-04-04,0.003163659160085824
2018-04-09,0.0031023915545982557
2018-04-10,0.0024944061922134186
2018-04-11,0.0021759726649582516
2018-04-12,0.0011270509452811902
2018-04-13,0.0015230071333991939
2018-04-16,-0.002504958999993742
2018-04-17,-0.0007926517304176137
2018-04-18,0.00018595198214907925
2018-04-19,0.001666563515959946
2018-04-20,-0.0009421894607751675
2018-04-23,0.0008452467014203064
2018-04-24,0.004244481403762254
2018-04-25,0.0021371663717888317
2018-04-26,-0.0010003831517282728
2018-04-27,0.0019700363126175574
2018-05-02,0.0016973770702463174
2018-05-03,0.0008419466350894841
2018-05-04,0.0008077721791531496
2018-05-07,-7.69665187516505e-05
2018-05-08,-0.00035718468135441557
2018-05-09,0.0009888413469390609
2018-05-10,-0.0003147793285577195
2018-05-11,-0.0018461947828255412
2018-05-14,0.002756206218216097
2018-05-15,0.0032943177096492974
2018-05-16,-0.0007465067127216847
2018-05-17,-0.0016309259028684413
2018-05-18,-0.0021113796742524508
2018-05-21,0.0008333522345193509
2018-05-22,0.0020851693503113403
2018-05-23,0.0012139866751492822
2018-05-24,-0.0013440974363914506
2018-05-25,0.0014310793669213293
2018-05-28,0.0012745972535747208
2018-05-29,0.0034158826559607443
2018-05-30,-0.0020037068502586214
2018-05-31,-0.0037232776258789794
2018-06-01,0.0020244799380722796
2018-06-04,-0.004699353247766295
2018-06-05,-0.0010549669050499422
2018-06-06,0.0019609993763240307
2018-06-07,0.0004758729174170126
2018-06-08,0.002492364197940883
2018-06-11,-0.0028673765129140685
2018-06-12,-0.0022036355148844413
2018-06-13,-0.0012325175764544526
2018-06-14,-0.0025152148610106525
2018-06-15,-0.0032012664631726473
2018-06-19,-0.004174332540736125
2018-06-20,-0.001308769846756843
2018-06-21,-0.002756819358019743
2018-06-22,0.002047167890206456
2018-06-25,-0.0012976630389404287
2018-06-26,0.0021284849389375127
2018-06-27,0.0013465271907191533
2018-06-28,0.0005844627534992586
2018-06-29,0.003421576417974019
2018-07-02,0.0009659742847759108
2018-07-03,0.003907595257492083
2018-07-04,-0.0031810881977105236
2018-07-05,-0.0007989454136796484
2018-07-06,0.00248888274028637
2018-07-09,0.0022636965525710886
2018-07-10,0.003135018371074617
2018-07-11,0.002289975137894376
2018-07-12,0.0035372628246688187
2018-07-13,-0.0032042970363793397
