Date,ls
2020-01-03,-0.001009415857721463
2020-01-06,-0.003261715976524613
2020-01-07,3.55471207121056e-05
2020-01-08,-0.00201724960531793
2020-01-09,0.003914181116523963
2020-01-10,0.005746186405897679
2020-01-13,-0.0003761407877514028
2020-01-14,-0.0029813691762118344
2020-01-15,0.0024426079195421675
2020-01-16,0.0008951375729189387
2020-01-17,-0.0017956232579916572
2020-01-20,-0.0007418549856880279
2020-01-21,0.0033551719459560744
2020-01-22,0.0008838448516958024
2020-01-23,-0.002623098148809389
2020-02-03,-0.007435054288614282
2020-02-04,-0.009969295271102359
2020-02-05,-0.004773147011569348
2020-02-06,-0.0053781842067432105
2020-02-07,0.0026900332680888234
2020-02-10,0.0034879836768806904
2020-02-11,0.012865227428867431
2020-02-12,-0.006065191747079691
2020-02-13,-0.000841088619130563
2020-02-14,-6.238859562630135e-05
2020-02-17,0.0023121030955980254
2020-02-18,0.0035033890637865533
2020-02-19,0.0030525875612726645
2020-02-20,0.0053864992797650925
2020-02-21,-0.001043927936186303
2020-02-24,-0.004147356214263992
2020-02-25,-0.010668422667392409
2020-02-26,0.006891622424581757
2020-02-27,-0.0019526114013867397
2020-02-28,-0.007516166980039277
2020-03-02,-0.005078114414997892
2020-03-03,0.0024153568115226898
2020-03-04,0.00887480940950035
2020-03-05,0.006728867637875467
2020-03-06,0.006668788114502592
2020-03-09,0.00245517131145492
2020-03-10,0.0030456683802784143
2020-03-11,0.008513151250717447
2020-03-12,0.0005226662555216505
2020-03-13,-0.0013650375167522048
2020-03-16,0.004040294098672691
2020-03-17,-0.009562753776128946
2020-03-18,0.0017673150259689165
2020-03-19,-0.0034818565428716107
2020-03-20,0.0012415263641220205
2020-03-23,0.002964013258059825
2020-03-24,0.0005636407196444732
2020-03-25,0.0037578424795428784
2020-03-26,0.0014860938563851737
2020-03-27,0.0014084777154120096
2020-03-30,-0.0048978182265040325
2020-03-31,8.489774627696949e-05
2020-04-01,0.0012021554360439604
2020-04-02,-0.0003908903708849283
2020-04-03,0.00237802739434747
2020-04-07,0.0016718448837353857
2020-04-08,0.002785699511762341
2020-04-09,-0.0006865068181773452
2020-04-10,0.00020490427946739942
2020-04-13,-0.0011045085466201993
2020-04-14,0.0004582725539129216
2020-04-15,-0.0004196280236330764
2020-04-16,0.0027899632715525746
2020-04-17,0.0002918146964957585
2020-04-20,-0.001818615619056222
2020-04-21,0.001003529864624821
2020-04-22,0.0021278413271742617
2020-04-23,0.0019825488647955266
2020-04-24,-0.00229788291018633
2020-04-27,-0.005001779379676762
2020-04-28,0.001056103569017624
2020-04-29,-0.0035514916238883225
2020-04-30,0.0017598932523663
2020-05-06,0.0023737660368036845
2020-05-07,0.0012423794672972444
2020-05-08,0.0011502272104865763
2020-05-11,-0.002927488327792198
2020-05-12,0.0010335019639998188
2020-05-13,0.0023870762939394805
2020-05-14,-0.002948839358435442
2020-05-15,0.0002557218866173908
2020-05-18,-0.002825958006879484
2020-05-19,0.0004912165936877266
2020-05-20,-0.00292104456420755
2020-05-21,0.002395611209901953
2020-05-22,-0.0009879074977764378
2020-05-25,-0.00010051761611081466
2020-05-26,0.004797117082164251
2020-05-27,-0.0013640066157282003
2020-05-28,-0.00027951905433109756
2020-05-29,0.0040514214265455996
2020-06-01,0.0045246026752496955
2020-06-02,-0.0015314901286958005
2020-06-03,0.0020247982578221416
2020-06-04,0.00323789346457251
2020-06-05,0.0021373600968007554
2020-06-08,-0.0010443779588760601
2020-06-09,0.0026837945141668365
2020-06-10,0.003231838353040334
2020-06-11,0.0035073036889332683
2020-06-12,0.0027694702178145732
2020-06-15,0.0024237216649493176
2020-06-16,0.005253751369003582
2020-06-17,7.427774050675334e-05
2020-06-18,-0.0007720397484142871
2020-06-19,0.0034289106338490725
2020-06-22,-0.0007541481953912189
2020-06-23,0.004614887377687777
2020-06-24,0.0014008840763844869
2020-06-29,0.0037051492715492003
2020-06-30,0.0028002100048669723
2020-07-01,-0.004982086338791245
2020-07-02,-0.006905906142019877
2020-07-03,-0.0004257877356584512
2020-07-06,-0.011058360853624744
2020-07-07,0.0114992292353785
2020-07-08,-0.003635862884966621
2020-07-09,0.004770834978906374
2020-07-10,0.009026961322404584
2020-07-13,-0.0005584309350504628
2020-07-14,-0.0031946537905779577
2020-07-15,0.012188763546508469
2020-07-16,-0.005919264792450592
2020-07-17,0.007506580567921838
2020-07-20,-0.009800813505678112
2020-07-21,0.005353417881946226
2020-07-22,0.002353471564845513
2020-07-23,-0.0011920947160572633
2020-07-24,-0.007869864957950785
2020-07-27,-0.004222808261435528
2020-07-28,0.00568515271082177
2020-07-29,0.0037331334452659487
2020-07-30,-0.0017225763289764337
2020-07-31,-0.0008211723349028626
2020-08-03,-0.001179119043851904
2020-08-04,-0.0006136754221975124
2020-08-05,0.00013888160477932773
2020-08-06,-0.0029050872178291607
2020-08-07,-0.0013225403523449992
2020-08-10,-0.002275583656812852
2020-08-11,0.003437503199439418
2020-08-12,-0.010262301942043413
2020-08-13,-0.00013763492054738938
2020-08-14,0.005003306128856267
2020-08-17,-2.744674450939899e-05
2020-08-18,0.003370977486490982
2020-08-19,-0.0021142509233977244
2020-08-20,-0.0019667212849512512
2020-08-21,0.0018646184988134803
2020-08-24,0.0018889301077371634
2020-08-25,0.007394171378725445
2020-08-26,-0.0006156325004540372
2020-08-27,8.387163509844184e-05
2020-08-28,0.0057679514058915984
2020-08-31,-0.001279906538323722
2020-09-01,-0.006017614442126576
2020-09-02,-0.0008796746007893267
2020-09-03,0.005550317602606034
2020-09-04,-0.002991260006318125
2020-09-07,-0.014075168088440006
