horizon_days,rank_ic,abs_rank_ic
1,0.05347558203657896,0.05347558203657896
5,0.07156830956812206,0.07156830956812206
10,0.07976766779621691,0.07976766779621691
20,0.0902006863886849,0.0902006863886849
