n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,factor,mode,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,mono_corr,kind,window,n_mad
1454,0.019725781021024513,0.041582135731815933,7.500624433346667,0.702200825309491,18.088794261445965,AlphaIdioSKEW50_MAD_n4,size_industry,0.16373596919272543,2.8112372944496045,-0.0501334991693569,0.3581314841988001,1,0.9276243761490107,Idio,50,4.0
1454,0.019628523207862198,0.041667704733474926,7.448315288705216,0.7028885832187071,17.962643517088644,AlphaIdioSKEW50_MAD_n6,size_industry,0.1628832562123204,2.803992413556766,-0.05019790871030539,0.3587228908841433,1,0.924124048891482,Idio,50,6.0
1454,0.019577158796953167,0.04172794945656883,7.418098986341183,0.6987620357634112,17.8897727205754,AlphaIdioSKEW50_MAD_n7,size_industry,0.16245951971245462,2.7972092521306937,-0.050197908710305245,0.3588515287041609,1,0.9233189954961362,Idio,50,7.0
1454,0.01976017348985966,0.04161272526108556,7.508178663615425,0.6987620357634112,18.107012333601084,AlphaIdioSKEW50_MAD_n3.5,size_industry,0.1633564381156704,2.796311169186618,-0.05036342660456686,0.3579660813413712,1,0.9286798340279387,Idio,50,3.5
1454,0.019672288102572356,0.04160522824761412,7.476132184748703,0.7008253094910591,18.029727813068803,AlphaIdioSKEW50_MAD_n5,size_industry,0.1625160875300948,2.7918551879531837,-0.05026433989090456,0.3583127288716276,1,0.9299786396755774,Idio,50,5.0
1454,0.0189925896128743,0.04156185686618178,7.225355935721936,0.6850068775790922,17.424946169271937,AlphaIdioSKEW60_MAD_n5,size_industry,0.1489738317980694,2.529709727982198,-0.051395761071206414,0.31258775536690886,1,0.9313662142179128,Idio,60,5.0
1454,0.018925455002783535,0.04163597184794273,7.186999715341265,0.6815680880330124,17.33244483351274,AlphaIdioSKEW60_MAD_n6,size_industry,0.14840816325308717,2.523784429458382,-0.05138098281839403,0.31313326015081083,1,0.9303899818589129,Idio,60,6.0
1454,0.019088772125197353,0.041561674478757415,7.261978542564389,0.6891334250343879,17.513266655969787,AlphaIdioSKEW60_MAD_n3.5,size_industry,0.14874941192162058,2.5100710045119645,-0.05159450916178713,0.31201521463359466,1,0.9362993243339512,Idio,60,3.5
1454,0.018865049930986182,0.04170796187771762,7.151695176285991,0.6829436038514443,17.247303049766465,AlphaIdioSKEW60_MAD_n7,size_industry,0.14711141503322334,2.5042543977913927,-0.05138098281839415,0.3133988323749767,1,0.9316815188330124,Idio,60,7.0
1454,0.019056482997421742,0.041526656895599465,7.2558080723458405,0.687757909215956,17.49838571275345,AlphaIdioSKEW60_MAD_n4,size_industry,0.14816678107022618,2.5042317607988998,-0.05173927541721033,0.3122755789983103,1,0.9334372869704499,Idio,60,4.0
