date_start,date_end,n_days,n_names_avg,n_names_min,n_names_max,rank_ic,rank_ic_std,rank_ic_tstat,icir,effective_direction,effective_ic_positive_day_share,effective_hl_mean_positive,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,g10_exact_ew_excess_annu_ret,g10_exact_ew_excess_sharpe,g10_exact_ew_excess_mdd,g10_count_avg,factor_id,factor_role,factor_label,universe,rank_ic_direction,effective_rank_ic,effective_icir,fee_bps_one_way,implied_annu_fee_7p5bps,hl_net_annu_ret_after_implied_fee,cost_treatment,raw_ic_negative_day_share,effective_ic_positive_day_share_recomputed
2023-01-04,2026-07-31,865,4865.624277456647,2030,4973,-0.05069727068358368,0.12745404890391607,-11.698737512396649,-6.289280250134137,-1,0.6682080924855491,True,0.40020383186562675,2.202840980249962,-0.2535179758050396,1.6926278703152935,0.10348496476086856,1.2634645675244107,-0.15599866110908933,487.0080924855491,mid_trade_amount_share_abs_4w20w,A0,"A0 fixed RMB (40k, 200k]",ALL,raw,0.05069727068358368,6.289280250134137,7.5,0.31736772568411753,0.08283610618150922,display-only; gross group returns are not fee-deducted,0.6682080924855491,0.6682080924855491
2023-01-04,2026-07-31,865,297.95028901734105,206,300,-0.021431340912207757,0.12123438428027443,-5.199140901263395,-2.7950754646243583,-1,0.5838150289017341,True,0.10289498511478033,0.5505938573663111,-0.3229907618403521,1.576846340597725,0.036967469143980296,0.45490106698150934,-0.09157718868768383,29.958381502890173,mid_trade_amount_share_abs_4w20w,A0,"A0 fixed RMB (40k, 200k]",CSI300,raw,0.021431340912207757,2.7950754646243583,7.5,0.29565868886207347,-0.19276370374729312,display-only; gross group returns are not fee-deducted,0.5838150289017341,0.5838150289017341
2023-01-04,2026-07-31,865,494.70867052023124,269,500,-0.030405972414560247,0.14649635009429804,-6.1043601190973895,-3.28172433102831,-1,0.5919075144508671,True,0.10710270498729209,0.48040662488695407,-0.3734769809492368,1.6542644962003408,0.006153918226094523,0.06471317238558508,-0.2009669420351442,49.80462427745665,mid_trade_amount_share_abs_4w20w,A0,"A0 fixed RMB (40k, 200k]",CSI500,raw,0.030405972414560247,3.28172433102831,7.5,0.3101745930375639,-0.20307188805027182,display-only; gross group returns are not fee-deducted,0.5919075144508671,0.5919075144508671
2023-01-04,2026-07-31,865,985.9514450867052,439,999,-0.0424069052480783,0.139959333242134,-8.911334969598153,-4.7907633594850685,-1,0.6462427745664739,True,0.30198334949963374,1.3434438283948862,-0.3011954211409693,1.631638445700123,0.06390086176475268,0.694120246026636,-0.14026272281001237,99.04046242774567,mid_trade_amount_share_abs_4w20w,A0,"A0 fixed RMB (40k, 200k]",CSI1000,raw,0.0424069052480783,4.7907633594850685,7.5,0.30593220856877307,-0.003948859069139332,display-only; gross group returns are not fee-deducted,0.6462427745664739,0.6462427745664739
2023-01-04,2026-07-31,865,4773.182658959538,1959,4955,0.029102902368547075,0.1478794333452834,5.788107365185373,3.111705797223126,-1,0.4069364161849711,False,-0.2683790950349874,-1.3833811390977107,-0.6366673231426488,1.086319439178516,-0.24700351615618021,-1.8914302527025508,-0.5930146927483035,477.7583815028902,mid_trade_amount_share_adv20,A1,A1 ADV20-normalized (frozen),ALL,raw,-0.029102902368547075,-3.111705797223126,7.5,0.20368489484597174,-0.47206398988095916,display-only; gross group returns are not fee-deducted,0.4069364161849711,0.4069364161849711
2023-01-04,2026-07-31,865,292.9028901734104,104,300,0.021438351208280665,0.18695972022764581,3.37249555239113,1.8130648412995698,-1,0.43815028901734104,True,0.035612464326326344,0.1416022192103347,-0.3724855672013258,1.127002167042827,0.05167603252984663,0.2939459376194385,-0.282770166446326,29.504046242774567,mid_trade_amount_share_adv20,A1,A1 ADV20-normalized (frozen),CSI300,raw,-0.021438351208280665,-1.8130648412995698,7.5,0.21131290632053004,-0.1757004419942037,display-only; gross group returns are not fee-deducted,0.43815028901734104,0.43815028901734104
2023-01-04,2026-07-31,865,487.2023121387283,211,500,0.025908142183544255,0.20191235526984963,3.773822163493739,2.0288193640748924,-1,0.45433526011560693,False,-0.04653953489777381,-0.17956916855306967,-0.4174915554227049,1.150729666747762,-0.07076913476029488,-0.4013778625715454,-0.3057925694117511,49.12832369942196,mid_trade_amount_share_adv20,A1,A1 ADV20-normalized (frozen),CSI500,raw,-0.025908142183544255,-2.0288193640748924,7.5,0.2157618125152054,-0.2623013474129792,display-only; gross group returns are not fee-deducted,0.45433526011560693,0.45433526011560693
2023-01-04,2026-07-31,865,972.235838150289,436,999,0.027041872396634282,0.19278763850756675,4.125395868011136,2.217826558564443,-1,0.446242774566474,False,-0.14523737221078464,-0.5780657163391772,-0.5015783961621781,1.1424505537061487,-0.17624505232466042,-1.0493516569381285,-0.4980807001529351,97.6878612716763,mid_trade_amount_share_adv20,A1,A1 ADV20-normalized (frozen),CSI1000,raw,-0.027041872396634282,-2.217826558564443,7.5,0.2142094788199029,-0.3594468510306875,display-only; gross group returns are not fee-deducted,0.446242774566474,0.446242774566474
2023-01-04,2026-07-31,865,4773.182658959538,1959,4955,0.0013654901302214363,0.15086564915608058,0.26619889803028196,0.1431094141752686,-1,0.49710982658959535,False,-0.16401160129582681,-0.8503771309259189,-0.628525920336114,1.1616945954198714,-0.1392923813655632,-1.52374318036432,-0.46064000192451604,477.7583815028902,mid_trade_amount_share_ats20,A2,"A2 ATS20-normalized (0.5x, 2.0x]",ALL,raw,-0.0013654901302214363,-0.1431094141752686,7.5,0.2178177366412259,-0.3818293379370527,display-only; gross group returns are not fee-deducted,0.49710982658959535,0.49710982658959535
2023-01-04,2026-07-31,865,292.9028901734104,104,300,-0.02956739684653082,0.19316549311255646,-4.501855977133473,-2.420212767055534,-1,0.5653179190751445,True,0.08547610470734619,0.3942160558031643,-0.464727988381914,0.935098864917483,0.0753147906476519,0.6297838000119779,-0.23574455929594618,29.504046242774567,mid_trade_amount_share_ats20,A2,"A2 ATS20-normalized (0.5x, 2.0x]",CSI300,raw,0.02956739684653082,2.420212767055534,7.5,0.17533103717202805,-0.08985493246468186,display-only; gross group returns are not fee-deducted,0.5653179190751445,0.5653179190751445
