lower_adv_bps_exclusive,upper_adv_bps_inclusive,selected_column,overall_amount_coverage,a0_overall_amount_coverage,abs_coverage_diff_vs_a0,mean_abs_quintile_coverage_diff_vs_a0,all_quintiles_between_10pct_80pct,minimum_quintile_coverage,maximum_quintile_coverage,frozen_main
2.0,20.0,a1_l2_h20_selected_amount,0.3103423954706549,0.31920775668306517,0.008865361212410272,0.06316973432709327,True,0.24387408075724135,0.41530570112450577,True
1.0,5.0,a1_l1_h5_selected_amount,0.3296887298672599,0.31920775668306517,0.01048097318419472,0.050952542437210556,True,0.29047404027844215,0.37190809328807234,False
2.0,10.0,a1_l2_h10_selected_amount,0.2585435077032301,0.31920775668306517,0.06066424897983508,0.05103603445403858,True,0.2081894313395385,0.3345766490078776,False
1.0,10.0,a1_l1_h10_selected_amount,0.4161423453523429,0.31920775668306517,0.09693458866927773,0.1272465108167417,True,0.3544792037969738,0.49630222644677296,False
2.0,5.0,a1_l2_h5_selected_amount,0.17208989221814713,0.31920775668306517,0.14711786446491804,0.12903036197992407,True,0.14418426782100854,0.21018251584917846,False
1.0,20.0,a1_l1_h20_selected_amount,0.4679412331197677,0.31920775668306517,0.14873347643670254,0.18583622306935957,True,0.3901638532146764,0.5770312785633975,False
0.5,5.0,a1_l0p5_h5_selected_amount,0.4841212560939591,0.31920775668306517,0.16491349941089395,0.18346717843644403,True,0.44849695080093216,0.5118643873454176,False
0.5,10.0,a1_l0p5_h10_selected_amount,0.570574871579042,0.31920775668306517,0.2513671148959768,0.2790993627491723,True,0.5125021143194647,0.6340581712590103,False
0.5,20.0,a1_l0p5_h20_selected_amount,0.6223737593464667,0.31920775668306517,0.3031660026634015,0.33768907500179124,True,0.5481867637371655,0.7147872233756377,False
