factor_id,month,rank_ic_mean,rank_ic_std,n_days,icir,negative_ic_day_share
mid_trade_amount_share_abs_4w20w,2023-01,-0.030000331356294756,0.07855670215075998,15,-6.038273950425886,0.6
mid_trade_amount_share_abs_4w20w,2023-02,-0.08190551521284758,0.09860977908990516,20,-13.132976434620382,0.85
mid_trade_amount_share_abs_4w20w,2023-03,-0.008949504798499206,0.12188151970778252,23,-1.1609971372902341,0.43478260869565216
mid_trade_amount_share_abs_4w20w,2023-04,-0.035468532750653405,0.14743943002525323,19,-3.8036415610508985,0.5789473684210527
mid_trade_amount_share_abs_4w20w,2023-05,-0.018775255861078425,0.12284942831725523,20,-2.416477349007507,0.55
mid_trade_amount_share_abs_4w20w,2023-06,-0.04266788561223071,0.13258189623164243,20,-5.088466273043646,0.65
mid_trade_amount_share_abs_4w20w,2023-07,-0.08744359455038533,0.08463031379127264,21,-16.336990446088876,0.8571428571428571
mid_trade_amount_share_abs_4w20w,2023-08,-0.06940493176175122,0.11024443211283946,23,-9.954138318343949,0.782608695652174
mid_trade_amount_share_abs_4w20w,2023-09,-0.059914174340678326,0.0992414398041385,20,-9.545672423681404,0.65
mid_trade_amount_share_abs_4w20w,2023-10,-0.04007657445667944,0.08451162845496236,17,-7.497977403664061,0.8235294117647058
mid_trade_amount_share_abs_4w20w,2023-11,-0.06500173671467056,0.1414941250573613,22,-7.2636775485066485,0.7272727272727273
mid_trade_amount_share_abs_4w20w,2023-12,-0.05286753556844276,0.11507269309837942,21,-7.264183281663292,0.7142857142857143
mid_trade_amount_share_abs_4w20w,2024-01,-0.050251652481084125,0.12899407847036765,22,-6.159572590922527,0.8181818181818182
mid_trade_amount_share_abs_4w20w,2024-02,0.03098941484368858,0.18665008483016765,15,2.6251564351297794,0.4
mid_trade_amount_share_abs_4w20w,2024-03,-0.05649719084009887,0.1512178778638182,21,-5.907363830909243,0.6190476190476191
mid_trade_amount_share_abs_4w20w,2024-04,-0.09388325651255656,0.10224910331428284,20,-14.517727545295953,0.8
mid_trade_amount_share_abs_4w20w,2024-05,-0.07190193553924505,0.0698230307897998,20,-16.282155179078654,0.9
mid_trade_amount_share_abs_4w20w,2024-06,0.00018512133216105604,0.10686604631994077,19,0.027389665533283765,0.3684210526315789
mid_trade_amount_share_abs_4w20w,2024-07,-0.009392857289401585,0.1348940688824347,23,-1.1009684494472285,0.6086956521739131
mid_trade_amount_share_abs_4w20w,2024-08,-0.06353945448401292,0.1520963949390177,22,-6.605330702763904,0.7272727272727273
mid_trade_amount_share_abs_4w20w,2024-09,-0.0014847225670654675,0.14123835846522725,19,-0.16621210613032245,0.631578947368421
mid_trade_amount_share_abs_4w20w,2024-10,-0.02033839225330977,0.23588117294510622,18,-1.363305995628369,0.6111111111111112
mid_trade_amount_share_abs_4w20w,2024-11,-0.06303795829912033,0.17003946275696666,21,-5.861684224351233,0.6190476190476191
mid_trade_amount_share_abs_4w20w,2024-12,-0.06796812592996687,0.14833678147868049,22,-7.244800786740021,0.6818181818181818
mid_trade_amount_share_abs_4w20w,2025-01,-0.04576009055405505,0.19985906830478964,18,-3.6202038094586286,0.6666666666666666
mid_trade_amount_share_abs_4w20w,2025-02,0.02447468681068612,0.19876226445956152,18,1.9469428855495023,0.4444444444444444
mid_trade_amount_share_abs_4w20w,2025-03,-0.0794345287855789,0.08049416389489791,21,-15.60324523356904,0.8095238095238095
mid_trade_amount_share_abs_4w20w,2025-04,-0.06194420383309553,0.11104520205213253,21,-8.820046626884078,0.7619047619047619
mid_trade_amount_share_abs_4w20w,2025-05,-0.07924997759277176,0.13233803364057928,19,-9.46857176339445,0.7368421052631579
mid_trade_amount_share_abs_4w20w,2025-06,-0.004648905451616796,0.11298215467769429,20,-0.6505952154931411,0.6
mid_trade_amount_share_abs_4w20w,2025-07,-0.04028635222076499,0.12635922199265764,23,-5.041050017101345,0.6086956521739131
mid_trade_amount_share_abs_4w20w,2025-08,-0.006227304872173172,0.14655567353074697,21,-0.6718425362154097,0.5714285714285714
mid_trade_amount_share_abs_4w20w,2025-09,-0.010078805558762173,0.14293854029345343,22,-1.1148841171254857,0.4090909090909091
mid_trade_amount_share_abs_4w20w,2025-10,-0.07448297926239722,0.12232638935299896,17,-9.627352798935899,0.6470588235294118
mid_trade_amount_share_abs_4w20w,2025-11,-0.05616075828363178,0.09679029458525089,20,-9.174262360676163,0.7
mid_trade_amount_share_abs_4w20w,2025-12,-0.017625839084296598,0.11582380277305054,23,-2.40614605303577,0.4782608695652174
mid_trade_amount_share_abs_4w20w,2026-01,-0.030217802103740598,0.15025861081772074,20,-3.1797538927059756,0.55
mid_trade_amount_share_abs_4w20w,2026-02,-0.04964092651181563,0.1296622012697121,14,-6.0533598612845525,0.6428571428571429
mid_trade_amount_share_abs_4w20w,2026-03,-0.07020922294772053,0.12358985276196788,22,-8.982171768299086,0.7272727272727273
mid_trade_amount_share_abs_4w20w,2026-04,-0.01563934934431324,0.09078818947516694,21,-2.723700369893284,0.6190476190476191
mid_trade_amount_share_abs_4w20w,2026-05,0.009199590270497477,0.15045670001061562,18,0.9667784416727192,0.4444444444444444
mid_trade_amount_share_abs_4w20w,2026-06,0.04314120289289547,0.20757643206720078,21,3.286126001453497,0.47619047619047616
