TradeDate,1,2,3,4,5,6,7,8,9,10,H-L
2023-01-04,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,2.0
2023-01-05,0.7878787878787878,1.4747474747474747,1.489795918367347,1.5353535353535352,1.5555555555555556,1.6122448979591837,1.5151515151515151,1.3265306122448979,1.0505050505050504,0.46464646464646453,1.2525252525252524
2023-01-06,0.6262626262626263,1.3333333333333335,1.4897959183673468,1.393939393939394,1.5353535353535355,1.4545454545454546,1.5151515151515151,1.4545454545454546,1.0505050505050506,0.4040404040404041,1.0303030303030303
2023-01-09,0.6464646464646465,1.2121212121212124,1.3737373737373737,1.4545454545454546,1.6161616161616164,1.5555555555555558,1.4747474747474745,1.3131313131313131,1.0303030303030303,0.4242424242424243,1.070707070707071
2023-01-10,0.7474747474747475,1.3737373737373737,1.3131313131313131,1.4747474747474747,1.5151515151515151,1.3535353535353534,1.3737373737373737,1.313131313131313,0.9898989898989898,0.3434343434343433,1.0909090909090908
2023-01-11,0.7676767676767677,1.3737373737373737,1.3877551020408163,1.5555555555555556,1.5757575757575757,1.4285714285714284,1.4343434343434343,1.346938775510204,0.9898989898989898,0.4242424242424241,1.1919191919191918
2023-01-12,0.6464646464646465,1.191919191919192,1.4343434343434343,1.575757575757576,1.4949494949494953,1.3737373737373737,1.4141414141414144,1.515151515151515,1.1515151515151516,0.38383838383838387,1.0303030303030303
2023-01-13,0.5252525252525253,1.3535353535353534,1.494949494949495,1.5757575757575757,1.5555555555555558,1.3737373737373737,1.393939393939394,1.4949494949494953,1.1313131313131315,0.4848484848484849,1.0101010101010102
2023-01-16,0.6262626262626263,1.4897959183673466,1.474747474747475,1.510204081632653,1.5555555555555556,1.5510204081632653,1.530612244897959,1.272727272727273,1.183673469387755,0.5656565656565657,1.191919191919192
2023-01-17,0.7272727272727273,1.414141414141414,1.6363636363636365,1.4949494949494948,1.474747474747475,1.5353535353535352,1.4545454545454546,1.4141414141414144,1.0505050505050506,0.3636363636363637,1.090909090909091
2023-01-18,0.7676767676767677,1.4343434343434345,1.4949494949494953,1.6363636363636362,1.5353535353535355,1.6363636363636365,1.474747474747475,1.393939393939394,1.0909090909090908,0.4848484848484849,1.2525252525252526
2023-01-19,0.7000000000000001,1.2323232323232327,1.5555555555555558,1.595959595959596,1.5555555555555558,1.6767676767676767,1.4343434343434347,1.272727272727273,0.9898989898989901,0.4848484848484849,1.184848484848485
2023-01-20,0.8600000000000002,1.3737373737373737,1.5353535353535355,1.5353535353535355,1.6161616161616164,1.4545454545454546,1.4141414141414141,1.2525252525252526,1.0505050505050504,0.4848484848484849,1.3448484848484852
2023-01-30,0.76,1.2929292929292928,1.4545454545454546,1.5353535353535352,1.6565656565656568,1.4747474747474747,1.4545454545454546,1.3535353535353538,1.1313131313131313,0.5252525252525253,1.2852525252525253
2023-01-31,0.8600000000000001,1.4747474747474747,1.494949494949495,1.575757575757576,1.6363636363636362,1.7171717171717171,1.6161616161616164,1.3535353535353534,1.0303030303030303,0.4242424242424243,1.2842424242424244
2023-02-01,0.8080808080808082,1.4343434343434343,1.4285714285714284,1.5151515151515151,1.5918367346938773,1.6565656565656566,1.3333333333333333,1.3131313131313131,1.1428571428571428,0.38383838383838387,1.191919191919192
2023-02-02,0.7272727272727273,1.4141414141414144,1.4693877551020407,1.5151515151515151,1.4747474747474747,1.4949494949494948,1.4545454545454546,1.414141414141414,1.1515151515151514,0.5050505050505052,1.2323232323232325
2023-02-03,0.78,1.3333333333333335,1.6161616161616161,1.676767676767677,1.5353535353535355,1.4747474747474747,1.3535353535353536,1.212121212121212,0.9696969696969697,0.48484848484848486,1.2648484848484849
2023-02-06,0.7400000000000001,1.1717171717171717,1.62,1.5555555555555558,1.62,1.494949494949495,1.292929292929293,1.2000000000000002,1.070707070707071,0.56,1.3000000000000003
2023-02-07,0.74,1.3737373737373737,1.4200000000000002,1.5,1.44,1.393939393939394,1.2800000000000002,1.2,1.090909090909091,0.46,1.2
2023-02-08,0.6600000000000001,1.3939393939393943,1.5555555555555556,1.58,1.5353535353535355,1.5151515151515151,1.4400000000000004,1.3535353535353536,1.171717171717172,0.44000000000000006,1.1
2023-02-09,0.7000000000000001,1.4200000000000002,1.595959595959596,1.6400000000000001,1.595959595959596,1.48,1.4343434343434345,1.2800000000000002,1.0303030303030305,0.52,1.2200000000000002
2023-02-10,0.7,1.3800000000000001,1.4141414141414144,1.48,1.5555555555555558,1.5,1.5757575757575757,1.32,1.272727272727273,0.6599999999999999,1.3599999999999999
2023-02-13,0.74,1.373737373737374,1.4141414141414144,1.6565656565656568,1.56,1.6161616161616164,1.4343434343434345,1.1515151515151516,1.0303030303030303,0.36000000000000004,1.1
2023-02-14,0.7400000000000001,1.3333333333333335,1.4545454545454546,1.5757575757575761,1.6599999999999997,1.4141414141414144,1.5151515151515151,1.4141414141414144,1.1313131313131313,0.4800000000000001,1.2200000000000002
2023-02-15,0.6666666666666667,1.3131313131313131,1.3939393939393938,1.6161616161616164,1.595959595959596,1.4343434343434345,1.3333333333333333,1.4141414141414144,1.1717171717171717,0.5454545454545455,1.2121212121212124
2023-02-16,0.686868686868687,1.2525252525252526,1.393939393939394,1.5151515151515154,1.4343434343434345,1.393939393939394,1.4141414141414144,1.1313131313131315,1.0303030303030303,0.42424242424242425,1.1111111111111112
2023-02-17,0.6464646464646464,1.2121212121212124,1.5151515151515151,1.5151515151515154,1.5353535353535355,1.5151515151515154,1.5151515151515151,1.292929292929293,0.9292929292929294,0.4444444444444445,1.0909090909090908
2023-02-20,0.66,1.3333333333333335,1.575757575757576,1.4141414141414144,1.5151515151515151,1.4545454545454548,1.3131313131313131,1.2323232323232323,1.0505050505050506,0.4242424242424243,1.0842424242424245
2023-02-21,0.6600000000000001,1.272727272727273,1.4545454545454546,1.474747474747475,1.474747474747475,1.5757575757575757,1.4343434343434345,1.292929292929293,1.0101010101010102,0.4444444444444445,1.1044444444444446
2023-02-22,0.6400000000000001,1.3535353535353538,1.54,1.7171717171717173,1.6400000000000001,1.5757575757575757,1.3131313131313131,1.1,1.1111111111111112,0.54,1.1800000000000002
2023-02-23,0.7400000000000001,1.3535353535353536,1.58,1.494949494949495,1.48,1.5353535353535355,1.4343434343434347,1.3000000000000003,1.0909090909090908,0.56,1.3000000000000003
2023-02-24,0.76,1.3333333333333335,1.5353535353535355,1.6600000000000001,1.54,1.5555555555555558,1.4400000000000002,1.3333333333333335,0.9898989898989901,0.46,1.22
2023-02-27,0.74,1.2000000000000002,1.494949494949495,1.6400000000000001,1.4343434343434345,1.54,1.28,1.12,0.9898989898989901,0.52,1.26
2023-02-28,0.66,1.2000000000000002,1.4141414141414144,1.6,1.595959595959596,1.52,1.3535353535353536,1.12,0.9898989898989901,0.45999999999999996,1.12
2023-03-01,0.7200000000000001,1.38,1.5151515151515151,1.58,1.6,1.5,1.3200000000000003,1.4600000000000002,1.1600000000000001,0.52,1.2400000000000002
2023-03-02,0.6200000000000001,1.26,1.4800000000000002,1.54,1.58,1.474747474747475,1.5600000000000003,1.3,1.0,0.46,1.08
2023-03-03,0.6799999999999999,1.272727272727273,1.44,1.494949494949495,1.58,1.5555555555555558,1.5353535353535357,1.3,0.9494949494949496,0.5,1.18
2023-03-06,0.68,1.2600000000000002,1.5,1.4343434343434345,1.46,1.44,1.4545454545454546,1.3,0.9600000000000001,0.44,1.12
2023-03-07,0.6000000000000001,1.4000000000000001,1.5000000000000002,1.48,1.6,1.3599999999999999,1.4200000000000002,1.34,1.04,0.46,1.06
