factor_id,factor_role,turnover_tercile,rank_ic,rank_ic_std,icir,negative_ic_day_share,n_days
mid_trade_amount_share_abs_4w20w,A0,Low,-0.012493649447595604,0.09640945744907758,-2.0489892582879894,0.5584905660377358,795
mid_trade_amount_share_abs_4w20w,A0,Mid,-0.024568898719512677,0.09230521009094245,-4.208520812590525,0.610062893081761,795
mid_trade_amount_share_abs_4w20w,A0,High,-0.04770227353501583,0.124948909860674,-6.036380553749001,0.6540880503144654,795
mid_trade_amount_share_adv20,A1,Low,-0.0028151303283580004,0.11854476731138011,-0.37547940536445673,0.5207547169811321,795
mid_trade_amount_share_adv20,A1,Mid,-0.004146751043899364,0.13756643082979525,-0.4766125758044566,0.5308176100628931,795
mid_trade_amount_share_adv20,A1,High,0.014367473728452165,0.16137944080942046,1.4076743907606906,0.4666666666666667,795
mid_trade_amount_share_ats20,A2,Low,-0.006855451073618003,0.18710513673525112,-0.57932241088481,0.5132075471698113,795
mid_trade_amount_share_ats20,A2,Mid,-0.0036711901862098743,0.1835291806095799,-0.31628002352326995,0.5106918238993711,795
mid_trade_amount_share_ats20,A2,High,0.015240346927362383,0.1525439585932234,1.579682639223014,0.4628930817610063,795
mid_trade_amount_share_rollq,A3,Low,-0.02221723759467133,0.17700946836816506,-1.9845569495229853,0.5459119496855346,795
mid_trade_amount_share_rollq,A3,Mid,-0.024212314014049482,0.17760862520583734,-2.1554713240664736,0.5534591194968553,795
mid_trade_amount_share_rollq,A3,High,-0.033187327620221425,0.14168589626357786,-3.703528279867801,0.5987421383647799,795
