scale,unit,group_type,group,quantile,value,calibration_start,calibration_end,quantile_method
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.75,0.5713565349578857,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.9,1.4778660535812378,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.95,2.657123565673828,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.99,8.037566184997559,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.1,0.03738071396946907,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.25,0.0803346037864685,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.5,0.19949297606945038,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.75,0.5379040837287903,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.9,1.3724288940429688,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.95,2.462893009185791,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.99,7.428772449493408,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.1,0.03359730541706085,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.25,0.07142443209886551,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.5,0.17803943157196045,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.75,0.4847329556941986,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.9,1.2330474853515625,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.95,2.1848134994506836,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q4,0.99,6.434927463531494,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.1,0.021026775240898132,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.25,0.04973193258047104,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.5,0.1325443536043167,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.75,0.3570358455181122,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.9,0.9320765733718872,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.95,1.659429669380188,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q5,0.99,4.887159824371338,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
