factor_id,dimension,quantile,n_days,n_obs,n_names_avg,coverage_rate,factor_mean,factor_median,factor_std,rank_ic_mean,rank_ic_std,icir,effective_rank_ic_mean,negative_ic_day_share
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q1,865,167849,194.04508670520232,0.9861196807695437,0.21761954428805683,0.22505007090314322,0.057892562591883204,-0.019615615502166922,0.10785391747571256,-2.8756499599063448,0.019615615502166922,0.5734104046242775
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q2,865,168202,194.45317919075146,0.9861196807695437,0.25073646766700014,0.2583771848331841,0.054793429014118315,-0.0157085000319307,0.10745817221782229,-2.3113476481358775,0.0157085000319307,0.5560693641618497
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q3,865,168192,194.44161849710983,0.9861196807695437,0.26955670245680136,0.2748863748278244,0.05384663189138378,-0.02014461053498551,0.11293370556624052,-2.82036490116818,0.02014461053498551,0.584971098265896
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q4,865,168202,194.45317919075146,0.9861196807695437,0.29042787826587185,0.2945232353590817,0.05830991126741822,-0.027801451325791947,0.12013931945873166,-3.6589148683337562,0.027801451325791947,0.5976878612716763
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q5,865,168540,194.84393063583815,0.9861196807695437,0.3186563242807417,0.3192123138595679,0.05846862120032094,-0.04191747353603599,0.13154089370183214,-5.038535409154651,0.04191747353603599,0.6161849710982659
mid_trade_amount_share_abs_4w20w,adv20_lag1,Q5-Q1,865,336389,0.7988439306358259,0.0,0.10103677999268487,0.09416224295642467,0.000576058608437735,-0.022301858033869068,0.02368697622611958,-2.1628854492483063,0.022301858033869068,0.04277456647398836
mid_trade_amount_share_adv20,adv20_lag1,Q1,865,167849,194.04508670520232,1.0,0.4785282840046992,0.4805021207133356,0.07923561928025151,-0.021538372274138476,0.10969929986465599,-3.104409670933669,0.021538372274138476,0.5965317919075145
mid_trade_amount_share_adv20,adv20_lag1,Q2,865,168202,194.45317919075146,1.0,0.43035501331319,0.43651159136833123,0.0764804255639688,-0.01923243738313505,0.10942512940061937,-2.778991782802083,0.01923243738313505,0.5780346820809249
mid_trade_amount_share_adv20,adv20_lag1,Q3,865,168191,194.44046242774567,1.0,0.3813064495527072,0.3915213444847057,0.07583680408390285,-0.016406754344592656,0.11493098410765885,-2.257124705865912,0.016406754344592656,0.5664739884393064
mid_trade_amount_share_adv20,adv20_lag1,Q4,865,168202,194.45317919075146,1.0,0.3173419659785094,0.3254882004838264,0.0741731611076199,-0.015013561713194241,0.11526178228316784,-2.0595313496261425,0.015013561713194241,0.5514450867052023
mid_trade_amount_share_adv20,adv20_lag1,Q5,865,168540,194.84393063583815,1.0,0.203162771634493,0.2053089292102826,0.07788238668578522,0.012743901804723009,0.13191240203523918,1.5275196023528308,-0.012743901804723009,0.46705202312138727
mid_trade_amount_share_adv20,adv20_lag1,Q5-Q1,865,336389,0.7988439306358259,0.0,-0.27536551237020623,-0.275193191503053,-0.0013532325944662915,0.03428227407886149,0.0222131021705832,4.6319292732865,-0.03428227407886149,-0.12947976878612721
mid_trade_amount_share_ats20,adv20_lag1,Q1,865,167849,194.04508670520232,1.0,0.20965739405601508,0.178260621851277,0.11674484556123116,-0.0020271933406314107,0.20286140580016615,-0.15800314970299706,0.0020271933406314107,0.5294797687861271
mid_trade_amount_share_ats20,adv20_lag1,Q2,865,168202,194.45317919075146,1.0,0.19909882265544898,0.16539381251085253,0.11694555156477765,-0.014459106218258936,0.20746779969686083,-1.101947112920911,0.014459106218258936,0.5341040462427745
mid_trade_amount_share_ats20,adv20_lag1,Q3,865,168191,194.44046242774567,1.0,0.20128111592324036,0.1692467086234622,0.11519092021073885,-0.006706314999284444,0.1824185707592196,-0.5812793625129716,0.006706314999284444,0.5121387283236994
mid_trade_amount_share_ats20,adv20_lag1,Q4,865,168202,194.45317919075146,1.0,0.20999370047125807,0.17695906668151168,0.11579420746756808,0.0015338284949944078,0.16440622140963237,0.14751240989126957,-0.0015338284949944078,0.48323699421965316
mid_trade_amount_share_ats20,adv20_lag1,Q5,865,168540,194.84393063583815,1.0,0.21356833225044305,0.18473859367437406,0.10334521948358599,0.014760282105371414,0.15399397619206512,1.5155174089856447,-0.014760282105371414,0.46705202312138727
mid_trade_amount_share_ats20,adv20_lag1,Q5-Q1,865,336389,0.7988439306358259,0.0,0.003910938194427976,0.006477971823097062,-0.013399626077645166,0.016787475446002825,-0.04886742960810103,1.6735205586886417,-0.016787475446002825,-0.06242774566473985
mid_trade_amount_share_rollq,adv20_lag1,Q1,865,167849,194.04508670520232,0.9861196807695437,0.2714803197314728,0.26661082923711926,0.057109989704690126,-0.024855401168849458,0.19990439937789953,-1.9659317177455091,0.024855401168849458,0.5641618497109827
mid_trade_amount_share_rollq,adv20_lag1,Q2,865,168202,194.45317919075146,0.9861196807695437,0.26949978187409107,0.2616565289348852,0.05765072082315792,-0.03663998128557139,0.19719583639609556,-2.937835717170447,0.03663998128557139,0.5630057803468208
mid_trade_amount_share_rollq,adv20_lag1,Q3,865,168192,194.44161849710983,0.9861196807695437,0.27301295052085645,0.2660786561307774,0.05662347732554053,-0.032735329763111415,0.18162282269495242,-2.8498126081323476,0.032735329763111415,0.5687861271676301
mid_trade_amount_share_rollq,adv20_lag1,Q4,865,168202,194.45317919075146,0.9861196807695437,0.2804998323793009,0.27386387594313655,0.05580712835895486,-0.02951081241886146,0.16067894578708916,-2.9039704731832923,0.02951081241886146,0.5780346820809249
mid_trade_amount_share_rollq,adv20_lag1,Q5,865,168540,194.84393063583815,0.9861196807695437,0.28612854447888225,0.2819515723319136,0.04845186385571801,-0.032500132262320944,0.1423634811327598,-3.609578853646243,0.032500132262320944,0.5965317919075145
mid_trade_amount_share_rollq,adv20_lag1,Q5-Q1,865,336389,0.7988439306358259,0.0,0.014648224747409455,0.015340743094794329,-0.008658125848972117,-0.007644731093471486,-0.05754091824513974,-1.6436471359007339,0.007644731093471486,0.032369942196531776
