factor_id,dimension,quantile,n_days,n_obs,n_names_avg,coverage_rate,factor_mean,factor_median,factor_std,rank_ic_mean,rank_ic_std,icir,effective_rank_ic_mean,negative_ic_day_share
mid_trade_amount_share_abs_4w20w,market_cap,Q1,865,170216,196.7815028901734,1.0,0.25009553535553153,0.2551435742624403,0.059255260935601184,-0.039103188346864215,0.127936854944084,-4.832662918151686,0.039103188346864215,0.6242774566473989
mid_trade_amount_share_abs_4w20w,market_cap,Q2,865,170588,197.21156069364162,1.0,0.26113060936513555,0.26812413117180733,0.05989093472797204,-0.03976231174396307,0.13469018510827116,-4.667729502469282,0.03976231174396307,0.6508670520231213
mid_trade_amount_share_abs_4w20w,market_cap,Q3,865,170552,197.1699421965318,1.0,0.268346349227927,0.2775430652369716,0.05968530677902316,-0.039712550200111205,0.14017917484372353,-4.479342615125611,0.039712550200111205,0.638150289017341
mid_trade_amount_share_abs_4w20w,market_cap,Q4,865,170588,197.21156069364162,1.0,0.27537590888385066,0.2860884961405461,0.062472752244833125,-0.03986703388971154,0.15233807586704493,-4.13785686635035,0.03986703388971154,0.623121387283237
mid_trade_amount_share_abs_4w20w,market_cap,Q5,865,170904,197.57687861271677,1.0,0.2944901031798126,0.30191263651808825,0.08148934083988585,-0.038219699246143705,0.18086192269230086,-3.341258881507496,0.038219699246143705,0.6046242774566474
mid_trade_amount_share_abs_4w20w,market_cap,Q5-Q1,865,341120,0.7953757225433549,0.0,0.044394567824281084,0.046769062255647975,0.022234079904284665,0.0008834891007205095,0.05292506774821687,1.49140403664419,-0.0008834891007205095,-0.01965317919075149
mid_trade_amount_share_adv20,market_cap,Q1,865,167849,194.04508670520232,1.0,0.42650393351111193,0.4401259104190791,0.0990284066019316,0.009012801912841739,0.17216125684696199,0.8277408827770534,-0.009012801912841739,0.48092485549132946
mid_trade_amount_share_adv20,market_cap,Q2,865,168202,194.45317919075146,1.0,0.39047624774744655,0.4051984465071997,0.10727972253700031,0.01674705241328635,0.1869307191016925,1.4165362968350361,-0.01674705241328635,0.4635838150289017
mid_trade_amount_share_adv20,market_cap,Q3,865,168191,194.44046242774567,1.0,0.3669842557482777,0.3835190302408057,0.11384752890617027,0.021230258288705204,0.19631573240598107,1.7098978946613357,-0.021230258288705204,0.44739884393063584
mid_trade_amount_share_adv20,market_cap,Q4,865,168202,194.45317919075146,1.0,0.33956249663343396,0.3529401351629695,0.11787756047398613,0.025209920428077855,0.2015556886193679,1.9776362733895203,-0.025209920428077855,0.45433526011560693
mid_trade_amount_share_adv20,market_cap,Q5,865,168540,194.84393063583815,1.0,0.2868891851424348,0.2993384354384087,0.12872765405461303,0.0275549972565108,0.1993573249031433,2.1854364341164767,-0.0275549972565108,0.4277456647398844
mid_trade_amount_share_adv20,market_cap,Q5-Q1,865,336389,0.7988439306358259,0.0,-0.13961474836867716,-0.1407874749806704,0.029699247452681432,0.018542195343669063,0.027196068056181327,1.3576955513394233,-0.018542195343669063,-0.05317919075144506
mid_trade_amount_share_ats20,market_cap,Q1,865,167849,194.04508670520232,1.0,0.19269824657635162,0.1649497337092611,0.10335188019727284,-4.637090211146492e-05,0.18116338473041269,-0.004047111066266238,4.637090211146492e-05,0.5190751445086705
mid_trade_amount_share_ats20,market_cap,Q2,865,168202,194.45317919075146,1.0,0.19250570517426516,0.16400674399980436,0.10376456835728398,3.2536961121148016e-05,0.18347568496010033,0.0028039384430026443,-3.2536961121148016e-05,0.5260115606936416
mid_trade_amount_share_ats20,market_cap,Q3,865,168191,194.44046242774567,1.0,0.19594598211695835,0.16834120588340218,0.10436837129419886,-0.002342298851596886,0.17983982053581807,-0.20593323852788367,0.002342298851596886,0.507514450867052
mid_trade_amount_share_ats20,market_cap,Q4,865,168202,194.45317919075146,1.0,0.21067679504972447,0.1821958255388851,0.11267702413631421,-0.003890201869785758,0.1626189554576386,-0.3782430661834297,0.003890201869785758,0.5156069364161849
mid_trade_amount_share_ats20,market_cap,Q5,865,168540,194.84393063583815,1.0,0.2416802054414321,0.20129100405184092,0.13813603055617324,0.00046072639273838473,0.17594061153902726,0.041404447968608336,-0.00046072639273838473,0.49942196531791905
mid_trade_amount_share_ats20,market_cap,Q5-Q1,865,336389,0.7988439306358259,0.0,0.04898195886508047,0.03634127034257981,0.034784150358900395,0.0005070972948498497,-0.005222773191385421,0.04545155903487458,-0.0005070972948498497,-0.01965317919075149
mid_trade_amount_share_rollq,market_cap,Q1,865,170216,196.7815028901734,1.0,0.2671678485889173,0.263369850555358,0.05197432187271125,-0.03311425281783548,0.1815460113216715,-2.8840199009789185,0.03311425281783548,0.5826589595375723
mid_trade_amount_share_rollq,market_cap,Q2,865,170588,197.21156069364162,1.0,0.2689170742561076,0.2642256641803133,0.05120078646516826,-0.036724128274271864,0.1806672828967072,-3.2139712450672064,0.036724128274271864,0.5826589595375723
mid_trade_amount_share_rollq,market_cap,Q3,865,170552,197.1699421965318,1.0,0.2713517051788713,0.2656619010188157,0.052092045112949535,-0.0342283588077832,0.1828747446554376,-2.9593909920699923,0.0342283588077832,0.5653179190751445
mid_trade_amount_share_rollq,market_cap,Q4,865,170588,197.21156069364162,1.0,0.27886682621973513,0.2733150704525068,0.05402362654128634,-0.032111033776475534,0.16211518738436143,-3.1318473732972527,0.032111033776475534,0.5745664739884393
mid_trade_amount_share_rollq,market_cap,Q5,865,170904,197.57687861271677,1.0,0.2949256704537656,0.2859931617697309,0.06612567579633534,-0.023164859893626554,0.16706181695727002,-2.192413571117872,0.023164859893626554,0.5572254335260116
mid_trade_amount_share_rollq,market_cap,Q5-Q1,865,341120,0.7953757225433549,0.0,0.02775782186484832,0.022623311214372888,0.014151353923624092,0.009949392924208923,-0.014484194364401487,0.6916063298610466,-0.009949392924208923,-0.02543352601156068
