TradeDate,1,2,3,4,5,6,7,8,9,10,H-L
2023-01-04,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,2.0
2023-01-05,0.9400000000000002,1.414141414141414,1.474747474747475,1.5353535353535355,1.7373737373737375,1.696969696969697,1.6969696969696972,1.5757575757575757,1.5757575757575757,0.9200000000000002,1.8600000000000003
2023-01-06,1.02,1.4545454545454546,1.5757575757575761,1.696969696969697,1.7171717171717171,1.7171717171717173,1.7373737373737377,1.6565656565656568,1.5353535353535355,1.02,2.04
2023-01-09,0.8400000000000001,1.4949494949494953,1.6400000000000001,1.6161616161616164,1.4200000000000002,1.777777777777778,1.575757575757576,1.58,1.575757575757576,1.02,1.86
2023-01-10,0.9000000000000001,1.4343434343434343,1.6800000000000002,1.7171717171717171,1.7600000000000002,1.6363636363636362,1.6363636363636362,1.54,1.5151515151515151,0.9600000000000001,1.8600000000000003
2023-01-11,0.787878787878788,1.212121212121212,1.595959595959596,1.6565656565656566,1.575757575757576,1.6363636363636362,1.5353535353535355,1.6363636363636365,1.4545454545454546,0.787878787878788,1.575757575757576
2023-01-12,0.8,1.5353535353535355,1.6161616161616164,1.7000000000000002,1.6363636363636367,1.7171717171717173,1.6600000000000001,1.575757575757576,1.474747474747475,0.8400000000000001,1.6400000000000001
2023-01-13,0.8,1.393939393939394,1.5959595959595962,1.6400000000000001,1.6363636363636367,1.6969696969696968,1.6400000000000001,1.5555555555555558,1.393939393939394,0.9800000000000001,1.7800000000000002
2023-01-16,0.9898989898989901,1.5555555555555558,1.7373737373737377,1.6969696969696972,1.6969696969696972,1.693877551020408,1.7171717171717173,1.5757575757575761,1.595959595959596,0.9696969696969698,1.9595959595959598
2023-01-17,1.02,1.4545454545454546,1.6161616161616164,1.6,1.595959595959596,1.676767676767677,1.6800000000000002,1.6565656565656566,1.595959595959596,1.1,2.12
2023-01-18,1.0,1.5151515151515154,1.5,1.6400000000000001,1.6800000000000002,1.676767676767677,1.7800000000000002,1.6800000000000002,1.6161616161616164,1.02,2.02
2023-01-19,0.8200000000000001,1.4000000000000001,1.58,1.6800000000000002,1.7000000000000002,1.6565656565656568,1.8200000000000003,1.58,1.62,0.9800000000000001,1.8000000000000003
2023-01-20,0.8400000000000001,1.54,1.7171717171717173,1.6800000000000002,1.7000000000000002,1.6969696969696972,1.62,1.5151515151515154,1.5200000000000002,1.0,1.84
2023-01-30,0.8200000000000001,1.373737373737374,1.54,1.7373737373737377,1.78,1.6363636363636367,1.5353535353535355,1.52,1.6161616161616164,0.8800000000000001,1.7000000000000002
2023-01-31,0.8,1.393939393939394,1.46,1.7575757575757576,1.58,1.7171717171717171,1.7373737373737375,1.5,1.4949494949494953,0.9200000000000002,1.7200000000000002
2023-02-01,0.8282828282828283,1.4141414141414144,1.595959595959596,1.6565656565656566,1.6565656565656566,1.777777777777778,1.5353535353535352,1.6363636363636365,1.3535353535353536,0.7474747474747475,1.5757575757575757
2023-02-02,0.8080808080808082,1.4343434343434345,1.6565656565656566,1.6363636363636367,1.676767676767677,1.676767676767677,1.6363636363636367,1.7575757575757578,1.373737373737374,0.8686868686868687,1.676767676767677
2023-02-03,0.8200000000000001,1.4141414141414141,1.5151515151515154,1.6,1.6969696969696972,1.7575757575757578,1.7200000000000002,1.5959595959595962,1.595959595959596,0.86,1.6800000000000002
2023-02-06,0.9600000000000001,1.4200000000000002,1.7000000000000002,1.6400000000000001,1.56,1.6600000000000001,1.62,1.52,1.56,0.7999999999999999,1.76
2023-02-07,0.9,1.6,1.62,1.58,1.6400000000000001,1.6600000000000001,1.6,1.62,1.42,0.8800000000000001,1.7800000000000002
2023-02-08,0.9800000000000001,1.54,1.575757575757576,1.6400000000000003,1.6,1.5555555555555558,1.6800000000000002,1.5757575757575761,1.4200000000000002,0.8400000000000001,1.8200000000000003
2023-02-09,0.92,1.4000000000000001,1.58,1.7400000000000002,1.6400000000000001,1.6565656565656568,1.62,1.7400000000000002,1.4400000000000002,0.96,1.88
2023-02-10,0.8400000000000001,1.3600000000000003,1.54,1.6600000000000001,1.62,1.5353535353535355,1.8000000000000003,1.56,1.6600000000000001,0.9600000000000001,1.8000000000000003
2023-02-13,0.8,1.48,1.4400000000000002,1.56,1.6800000000000002,1.6400000000000001,1.494949494949495,1.48,1.4949494949494953,1.06,1.86
2023-02-14,0.8800000000000001,1.6,1.4949494949494953,1.56,1.797979797979798,1.7,1.5353535353535355,1.6600000000000001,1.5353535353535355,1.06,1.9400000000000002
